Player,REC,TGT,REC PCT,YDS,Y/R,TD,TGT PCT,ATT,YDS.1,TD.1,PCT,FL,G,POS
Romeo Doubs (GB),6.0,9.0,66.7%,34.0,5.7,6.0,32.1%,0.0,0.0,0.0,0%,0.0,17.0,WR
Brandin Cooks (DAL),5.0,8.0,62.5%,35.0,7.0,5.0,29.6%,0.0,0.0,0.0,0.0%,0.0,16.0,WR
Rashee Rice (KC),8.0,11.0,72.7%,32.0,4.0,5.0,50.0%,0.0,0.0,0.0,0.0%,0.0,16.0,WR
DK Metcalf (SEA),5.0,10.0,50.0%,28.0,5.6,5.0,47.6%,0.0,0.0,0.0,0.0%,0.0,16.0,WR
Jakobi Meyers (LV),6.0,9.0,66.7%,39.0,6.5,4.0,37.5%,0.0,0.0,0.0,0%,0.0,16.0,WR
Keenan Allen (CHI),6.0,11.0,54.5%,34.0,5.7,4.0,44.0%,1.0,4.0,0.0,100.0%,0.0,13.0,WR
Davante Adams (LV),9.0,13.0,69.2%,35.0,3.9,4.0,54.2%,0.0,0.0,0.0,0%,0.0,17.0,WR
Jayden Reed (GB),4.0,8.0,50.0%,33.0,8.3,4.0,28.6%,0.0,0.0,0.0,0%,0.0,16.0,WR
Calvin Ridley (TEN),5.0,12.0,41.7%,20.0,4.0,4.0,60.0%,0.0,0.0,0.0,0%,0.0,17.0,WR
Nico Collins (HOU),5.0,9.0,55.6%,19.0,3.8,4.0,36.0%,0.0,0.0,0.0,0.0%,0.0,15.0,WR
Curtis Samuel (BUF),3.0,7.0,42.9%,13.0,4.3,3.0,36.8%,1.0,1.0,1.0,100.0%,0.0,16.0,WR
Mike Evans (TB),4.0,8.0,50.0%,6.0,1.5,4.0,36.4%,0.0,0.0,0.0,0%,0.0,17.0,WR
Amon-Ra St. Brown (DET),7.0,12.0,58.3%,35.0,5.0,3.0,66.7%,0.0,0.0,0.0,0%,0.0,16.0,WR
Zay Flowers (BAL),6.0,6.0,100.0%,25.0,4.2,3.0,33.3%,1.0,6.0,0.0,100.0%,0.0,16.0,WR
Adam Thielen (CAR),5.0,9.0,55.6%,27.0,5.4,3.0,60.0%,0.0,0.0,0.0,0.0%,0.0,17.0,WR
Jordan Addison (MIN),4.0,9.0,44.4%,20.0,5.0,3.0,34.6%,0.0,0.0,0.0,0%,0.0,17.0,WR
Chris Olave (NO),3.0,6.0,50.0%,20.0,6.7,3.0,37.5%,0.0,0.0,0.0,0%,0.0,16.0,WR
Courtland Sutton (DEN),3.0,7.0,42.9%,18.0,6.0,3.0,38.9%,0.0,0.0,0.0,0%,0.0,16.0,WR
Demarcus Robinson (LAR),4.0,7.0,57.1%,17.0,4.3,3.0,25.0%,0.0,0.0,0.0,0%,0.0,13.0,WR
Deebo Samuel Sr. (SF),2.0,3.0,66.7%,11.0,5.5,1.0,33.3%,2.0,3.0,2.0,100.0%,0.0,15.0,WR
Tyreek Hill (MIA),7.0,15.0,46.7%,14.0,2.0,3.0,51.7%,0.0,0.0,0.0,0.0%,0.0,16.0,WR
Tyler Lockett (SEA),3.0,5.0,60.0%,14.0,4.7,3.0,23.8%,0.0,0.0,0.0,0.0%,0.0,17.0,WR
