Player,REC,TGT,REC PCT,YDS,Y/R,TD,TGT PCT,ATT,YDS.1,TD.1,PCT,FL,G,POS
Justin Watson (KC),3.0,4.0,75.0%,13.0,4.3,3.0,18.2%,0.0,0.0,0.0,0.0%,0.0,16.0,WR
Gabe Davis (JAC),3.0,4.0,75.0%,13.0,4.3,3.0,36.4%,0.0,0.0,0.0,0.0%,0.0,17.0,WR
Ja'Marr Chase (CIN),5.0,10.0,50.0%,13.0,2.6,3.0,41.7%,0.0,0.0,0.0,0%,0.0,16.0,WR
Josh Reynolds (DEN),3.0,5.0,60.0%,13.0,4.3,3.0,27.8%,0.0,0.0,0.0,0%,0.0,17.0,WR
Cooper Kupp (LAR),4.0,8.0,50.0%,11.0,2.8,3.0,28.6%,0.0,0.0,0.0,0%,0.0,12.0,WR
Diontae Johnson (CAR),3.0,4.0,75.0%,9.0,3.0,3.0,40.0%,0.0,0.0,0.0,0.0%,0.0,13.0,WR
Hollywood Brown (KC),3.0,4.0,75.0%,6.0,2.0,3.0,33.3%,0.0,0.0,0.0,0%,0.0,14.0,WR
CeeDee Lamb (DAL),5.0,14.0,35.7%,22.0,4.4,2.0,51.9%,2.0,3.0,1.0,66.7%,1.0,17.0,WR
KaVontae Turpin (DAL),3.0,3.0,100.0%,14.0,4.7,1.0,11.1%,1.0,7.0,1.0,33.3%,0.0,16.0,WR
Tyler Boyd (TEN),3.0,4.0,75.0%,21.0,7.0,2.0,16.7%,0.0,0.0,0.0,0%,0.0,17.0,WR
K.J. Osborn (NE),3.0,6.0,50.0%,20.0,6.7,2.0,23.1%,0.0,0.0,0.0,0%,0.0,16.0,WR
Elijah Moore (CLE),2.0,6.0,33.3%,18.0,9.0,2.0,42.9%,0.0,0.0,0.0,0%,0.0,17.0,WR
Garrett Wilson (NYJ),5.0,11.0,45.5%,18.0,3.6,2.0,61.1%,0.0,0.0,0.0,0.0%,0.0,17.0,WR
Jahan Dotson (WAS),2.0,7.0,28.6%,18.0,9.0,2.0,36.8%,0.0,0.0,0.0,0.0%,0.0,17.0,WR
Puka Nacua (LAR),4.0,8.0,50.0%,17.0,4.3,2.0,28.6%,0.0,0.0,0.0,0%,0.0,17.0,WR
DeAndre Hopkins (TEN),3.0,9.0,33.3%,13.0,4.3,2.0,75.0%,1.0,4.0,0.0,100.0%,0.0,17.0,WR
DJ Moore (CHI),4.0,7.0,57.1%,16.0,4.0,2.0,46.7%,0.0,0.0,0.0,0%,0.0,17.0,WR
DJ Chark Jr. (LAC),2.0,3.0,66.7%,15.0,7.5,2.0,20.0%,0.0,0.0,0.0,0.0%,0.0,15.0,WR
Michael Pittman Jr. (IND),2.0,4.0,50.0%,14.0,7.0,2.0,33.3%,0.0,0.0,0.0,0%,0.0,16.0,WR
Michael Wilson (ARI),2.0,4.0,50.0%,13.0,6.5,2.0,33.3%,0.0,0.0,0.0,0%,0.0,13.0,WR
Tank Dell (HOU),2.0,3.0,66.7%,13.0,6.5,2.0,12.0%,0.0,0.0,0.0,0.0%,0.0,11.0,WR
Brandon Aiyuk (SF),2.0,4.0,50.0%,10.0,5.0,2.0,44.4%,0.0,0.0,0.0,0.0%,0.0,16.0,WR
Christian Watson (GB),2.0,7.0,28.6%,10.0,5.0,2.0,25.0%,0.0,0.0,0.0,0%,0.0,9.0,WR
Scotty Miller (PIT),2.0,2.0,100.0%,10.0,5.0,2.0,22.2%,0.0,0.0,0.0,0.0%,0.0,17.0,WR
Cedrick Wilson Jr. (NO),2.0,4.0,50.0%,9.0,4.5,2.0,13.8%,0.0,0.0,0.0,0.0%,0.0,15.0,WR
A.J. Brown (PHI),3.0,7.0,42.9%,8.0,2.7,2.0,53.8%,0.0,0.0,0.0,0%,0.0,17.0,WR
Jake Bobo (SEA),1.0,1.0,100.0%,5.0,5.0,1.0,4.8%,1.0,3.0,1.0,100.0%,0.0,17.0,WR
Lil'Jordan Humphrey (DEN),2.0,2.0,100.0%,8.0,4.0,2.0,11.1%,0.0,0.0,0.0,0%,0.0,17.0,WR
Trey Palmer (TB),2.0,2.0,100.0%,8.0,4.0,2.0,9.1%,0.0,0.0,0.0,0%,0.0,17.0,WR
Quentin Johnston (LAC),2.0,4.0,50.0%,7.0,3.5,2.0,16.0%,0.0,0.0,0.0,0.0%,0.0,17.0,WR
DeVonta Smith (PHI),2.0,4.0,50.0%,7.0,3.5,2.0,30.8%,0.0,0.0,0.0,0%,0.0,16.0,WR
Tee Higgins (CIN),2.0,4.0,50.0%,7.0,3.5,2.0,16.7%,0.0,0.0,0.0,0%,0.0,12.0,WR
Jaylen Waddle (MIA),2.0,6.0,33.3%,6.0,3.0,2.0,20.7%,0.0,0.0,0.0,0.0%,0.0,14.0,WR
Andrei Iosivas (CIN),2.0,2.0,100.0%,5.0,2.5,2.0,8.3%,0.0,0.0,0.0,0%,0.0,16.0,WR
Tutu Atwell (LAR),2.0,4.0,50.0%,4.0,2.0,2.0,14.3%,0.0,0.0,0.0,0%,0.0,16.0,WR
Xavier Gipson (NYJ),2.0,3.0,66.7%,9.0,4.5,0.0,16.7%,1.0,9.0,1.0,100.0%,0.0,17.0,WR
Odell Beckham Jr. (MIA),2.0,7.0,28.6%,15.0,7.5,1.0,38.9%,0.0,0.0,0.0,0.0%,0.0,14.0,WR
Amari Cooper (CLE),2.0,5.0,40.0%,13.0,6.5,1.0,35.7%,0.0,0.0,0.0,0%,0.0,15.0,WR
Stefon Diggs (HOU),2.0,5.0,40.0%,7.0,3.5,1.0,45.5%,1.0,5.0,0.0,50.0%,0.0,17.0,WR
Drake London (ATL),3.0,7.0,42.9%,11.0,3.7,1.0,77.8%,0.0,0.0,0.0,0.0%,0.0,16.0,WR
Chris Godwin (TB),2.0,11.0,18.2%,10.0,5.0,1.0,50.0%,0.0,0.0,0.0,0%,0.0,17.0,WR
Rashod Bateman (BAL),1.0,3.0,33.3%,10.0,10.0,1.0,16.7%,0.0,0.0,0.0,0.0%,0.0,16.0,WR
Lawrence Cager (NYG),1.0,1.0,100.0%,10.0,10.0,1.0,12.5%,0.0,0.0,0.0,0%,0.0,9.0,WR
Allen Lazard (NYJ),1.0,2.0,50.0%,10.0,10.0,1.0,11.1%,0.0,0.0,0.0,0.0%,0.0,14.0,WR
Bo Melton (GB),1.0,1.0,100.0%,9.0,9.0,1.0,3.6%,0.0,0.0,0.0,0%,0.0,4.0,WR
Skyy Moore (KC),1.0,2.0,50.0%,9.0,9.0,1.0,9.1%,0.0,0.0,0.0,0.0%,0.0,14.0,WR
Wan'Dale Robinson (NYG),1.0,1.0,100.0%,9.0,9.0,1.0,12.5%,0.0,0.0,0.0,0%,0.0,15.0,WR
Simi Fehoko (LAC),1.0,1.0,100.0%,9.0,9.0,1.0,4.0%,0.0,0.0,0.0,0.0%,0.0,5.0,WR
Ronnie Bell (SF),1.0,1.0,100.0%,9.0,9.0,1.0,11.1%,0.0,0.0,0.0,0.0%,0.0,16.0,WR
Jaxon Smith-Njigba (SEA),1.0,5.0,20.0%,9.0,9.0,1.0,23.8%,0.0,0.0,0.0,0.0%,0.0,17.0,WR
Isaiah Hodgins (NYG),1.0,2.0,50.0%,8.0,8.0,1.0,25.0%,0.0,0.0,0.0,0%,0.0,17.0,WR
Jason Brownlee (NYJ),1.0,2.0,50.0%,8.0,8.0,1.0,11.1%,0.0,0.0,0.0,0.0%,0.0,7.0,WR
Julio Jones (FA),1.0,1.0,100.0%,8.0,8.0,1.0,7.7%,0.0,0.0,0.0,0%,0.0,11.0,WR
Kendrick Bourne (NE),3.0,3.0,100.0%,8.0,2.7,1.0,42.9%,0.0,0.0,0.0,0%,0.0,8.0,WR
Calvin Austin III (PIT),0.0,0.0,0%,0.0,0.0,0.0,0.0%,1.0,7.0,1.0,100.0%,0.0,17.0,WR
Keith Kirkwood (BAL),1.0,2.0,50.0%,7.0,7.0,1.0,12.5%,0.0,0.0,0.0,0%,0.0,13.0,WR
Jalen Tolbert (DAL),1.0,1.0,100.0%,7.0,7.0,1.0,3.7%,0.0,0.0,0.0,0.0%,0.0,17.0,WR
Brandon Powell (MIN),2.0,4.0,50.0%,7.0,3.5,1.0,15.4%,0.0,0.0,0.0,0%,0.0,17.0,WR
Zay Jones (ARI),1.0,4.0,25.0%,6.0,6.0,1.0,20.0%,0.0,0.0,0.0,0%,0.0,9.0,WR
Robert Woods (HOU),1.0,4.0,25.0%,6.0,6.0,1.0,16.0%,0.0,0.0,0.0,0.0%,0.0,14.0,WR
Malik Heath (GB),1.0,2.0,50.0%,6.0,6.0,1.0,7.1%,0.0,0.0,0.0,0%,0.0,13.0,WR
Nelson Agholor (BAL),1.0,2.0,50.0%,6.0,6.0,1.0,11.1%,0.0,0.0,0.0,0.0%,0.0,17.0,WR
Greg Dortch (ARI),1.0,2.0,50.0%,6.0,6.0,1.0,16.7%,0.0,0.0,0.0,0%,0.0,16.0,WR
Kadarius Toney (KC),3.0,3.0,100.0%,6.0,2.0,1.0,13.6%,1.0,0.0,0.0,100.0%,0.0,13.0,WR
Deven Thompkins (FA),1.0,1.0,100.0%,5.0,5.0,1.0,4.5%,0.0,0.0,0.0,0%,0.0,17.0,WR
Josh Downs (IND),2.0,5.0,40.0%,5.0,2.5,1.0,41.7%,0.0,0.0,0.0,0%,0.0,17.0,WR
Brandon Johnson (DEN),1.0,3.0,33.3%,4.0,4.0,1.0,16.7%,0.0,0.0,0.0,0%,0.0,13.0,WR
River Cracraft (MIA),2.0,4.0,50.0%,4.0,2.0,1.0,13.8%,0.0,0.0,0.0,0.0%,0.0,10.0,WR
Nick Westbrook-Ikhine (TEN),1.0,2.0,50.0%,4.0,4.0,1.0,16.7%,0.0,0.0,0.0,0.0%,0.0,14.0,WR
Justin Jefferson (MIN),1.0,7.0,14.3%,4.0,4.0,1.0,26.9%,0.0,0.0,0.0,0%,0.0,10.0,WR
Noah Brown (HOU),1.0,5.0,20.0%,3.0,3.0,1.0,20.0%,0.0,0.0,0.0,0.0%,0.0,10.0,WR
JuJu Smith-Schuster (NE),1.0,1.0,100.0%,3.0,3.0,1.0,14.3%,0.0,0.0,0.0,0%,0.0,11.0,WR
Terry McLaurin (WAS),1.0,3.0,33.3%,3.0,3.0,1.0,15.8%,0.0,0.0,0.0,0.0%,0.0,17.0,WR
Sterling Shepard (TB),1.0,3.0,33.3%,2.0,2.0,1.0,37.5%,0.0,0.0,0.0,0%,0.0,15.0,WR
Michael Gallup (FA),1.0,1.0,100.0%,1.0,1.0,1.0,3.7%,0.0,0.0,0.0,0.0%,0.0,17.0,WR
Deonte Harty (BAL),1.0,1.0,100.0%,3.0,3.0,1.0,9.1%,1.0,-3.0,0.0,50.0%,0.0,16.0,WR
Laviska Shenault Jr. (SEA),0.0,0.0,0%,0.0,0.0,0.0,0.0%,1.0,7.0,0.0,100.0%,0.0,8.0,WR
Marvin Mims Jr. (DEN),1.0,1.0,100.0%,4.0,4.0,0.0,5.6%,0.0,0.0,0.0,0%,0.0,16.0,WR
Joshua Palmer (LAC),1.0,5.0,20.0%,3.0,3.0,0.0,20.0%,0.0,0.0,0.0,0.0%,0.0,11.0,WR
Xavier Hutchinson (HOU),1.0,1.0,100.0%,0.0,0.0,0.0,4.0%,1.0,3.0,0.0,100.0%,0.0,15.0,WR
George Pickens (PIT),1.0,3.0,33.3%,2.0,2.0,0.0,30.0%,0.0,0.0,0.0,0.0%,0.0,17.0,WR
Parker Washington (JAC),1.0,1.0,100.0%,1.0,1.0,0.0,5.0%,0.0,0.0,0.0,0%,0.0,9.0,WR
Khalil Shakir (BUF),1.0,1.0,100.0%,1.0,1.0,0.0,9.1%,0.0,0.0,0.0,0.0%,0.0,17.0,WR
Mike Williams (NYJ),0.0,2.0,0.0%,0.0,0.0,0.0,8.0%,0.0,0.0,0.0,0.0%,0.0,3.0,WR
A.T. Perry (NO),0.0,1.0,0.0%,0.0,0.0,0.0,6.3%,0.0,0.0,0.0,0%,0.0,10.0,WR
Dontayvion Wicks (GB),0.0,1.0,0.0%,0.0,0.0,0.0,3.6%,0.0,0.0,0.0,0%,0.0,15.0,WR
Kyle Philips (TEN),0.0,1.0,0.0%,0.0,0.0,0.0,8.3%,0.0,0.0,0.0,0.0%,0.0,9.0,WR
Rashid Shaheed (NO),0.0,2.0,0.0%,0.0,0.0,0.0,12.5%,0.0,0.0,0.0,0%,0.0,16.0,WR
Cedric Tillman (CLE),0.0,2.0,0.0%,0.0,0.0,0.0,14.3%,0.0,0.0,0.0,0%,0.0,14.0,WR
Samori Toure (GB),0.0,0.0,0%,0.0,0.0,0.0,0.0%,0.0,0.0,0.0,0%,0.0,11.0,WR
DeMario Douglas (NE),0.0,2.0,0.0%,0.0,0.0,0.0,28.6%,0.0,0.0,0.0,0%,0.0,14.0,WR
Michael Thomas (FA),0.0,5.0,0.0%,0.0,0.0,0.0,31.3%,0.0,0.0,0.0,0%,0.0,10.0,WR
DeAndre Carter (CHI),0.0,1.0,0.0%,0.0,0.0,0.0,4.2%,0.0,0.0,0.0,0%,0.0,17.0,WR
Alec Pierce (IND),0.0,2.0,0.0%,0.0,0.0,0.0,16.7%,0.0,0.0,0.0,0%,0.0,17.0,WR
Tre Tucker (LV),0.0,1.0,0.0%,0.0,0.0,0.0,4.2%,0.0,0.0,0.0,0%,0.0,16.0,WR
Randall Cobb (FA),0.0,0.0,0%,0.0,0.0,0.0,0.0%,0.0,0.0,0.0,0.0%,0.0,11.0,WR
Tim Jones (JAC),0.0,0.0,0%,0.0,0.0,0.0,0.0%,0.0,0.0,0.0,0%,0.0,17.0,WR
Miles Boykin (NYG),0.0,0.0,0%,0.0,0.0,0.0,0.0%,0.0,0.0,0.0,0.0%,0.0,16.0,WR
Jauan Jennings (SF),0.0,1.0,0.0%,0.0,0.0,0.0,11.1%,0.0,0.0,0.0,0.0%,0.0,13.0,WR
Trishton Jackson (MIN),0.0,0.0,0%,0.0,0.0,0.0,0.0%,0.0,0.0,0.0,0%,0.0,6.0,WR
Jalen Reagor (NE),0.0,1.0,0.0%,0.0,0.0,0.0,14.3%,0.0,0.0,0.0,0%,0.0,11.0,WR
D.J. Montgomery (IND),0.0,1.0,0.0%,0.0,0.0,0.0,8.3%,0.0,0.0,0.0,0%,0.0,7.0,WR
Jalen Guyton (LV),0.0,1.0,0.0%,0.0,0.0,0.0,4.0%,0.0,0.0,0.0,0.0%,0.0,8.0,WR
Rondale Moore (ATL),0.0,1.0,0.0%,0.0,0.0,0.0,8.3%,0.0,0.0,0.0,0%,0.0,17.0,WR
Justyn Ross (KC),0.0,1.0,0.0%,0.0,0.0,0.0,4.5%,0.0,0.0,0.0,0.0%,0.0,10.0,WR
Olamide Zaccheaus (WAS),0.0,1.0,0.0%,0.0,0.0,0.0,7.7%,0.0,0.0,0.0,0%,0.0,17.0,WR
Dyami Brown (WAS),1.0,2.0,50.0%,0.0,0.0,0.0,10.5%,0.0,0.0,0.0,0.0%,0.0,17.0,WR
Terrace Marshall Jr. (CAR),0.0,1.0,0.0%,0.0,0.0,0.0,6.7%,0.0,0.0,0.0,0.0%,0.0,9.0,WR
Trenton Irwin (CIN),2.0,4.0,50.0%,0.0,0.0,0.0,16.7%,0.0,0.0,0.0,0%,0.0,16.0,WR
Ben Skowronek (HOU),0.0,1.0,0.0%,0.0,0.0,0.0,3.6%,0.0,0.0,0.0,0%,0.0,17.0,WR
Marquez Valdes-Scantling (BUF),0.0,1.0,0.0%,0.0,0.0,0.0,4.5%,0.0,0.0,0.0,0.0%,0.0,16.0,WR
Jamal Agnew (FA),0.0,1.0,0.0%,0.0,0.0,0.0,5.0%,0.0,0.0,0.0,0%,0.0,11.0,WR
Zach Pascal (ARI),0.0,1.0,0.0%,0.0,0.0,0.0,8.3%,0.0,0.0,0.0,0%,0.0,14.0,WR
David Bell (CLE),0.0,1.0,0.0%,0.0,0.0,0.0,7.1%,0.0,0.0,0.0,0%,0.0,15.0,WR
John Metchie III (HOU),0.0,3.0,0.0%,0.0,0.0,0.0,12.0%,0.0,0.0,0.0,0.0%,0.0,16.0,WR
Donovan Peoples-Jones (DET),0.0,1.0,0.0%,0.0,0.0,0.0,5.6%,0.0,0.0,0.0,0%,0.0,15.0,WR
Byron Pringle (FA),0.0,0.0,0%,0.0,0.0,0.0,0.0%,0.0,0.0,0.0,0.0%,0.0,16.0,WR
Jonathan Mingo (CAR),0.0,2.0,0.0%,0.0,0.0,0.0,13.3%,0.0,0.0,0.0,0.0%,0.0,15.0,WR
KhaDarel Hodge (ATL),0.0,0.0,0%,0.0,0.0,0.0,0.0%,1.0,0.0,0.0,100.0%,0.0,17.0,WR
Parris Campbell (PHI),0.0,1.0,0.0%,0.0,0.0,0.0,12.5%,0.0,0.0,0.0,0%,0.0,12.0,WR
Darnell Mooney (ATL),1.0,5.0,20.0%,-1.0,-1.0,0.0,33.3%,0.0,0.0,0.0,0%,0.0,15.0,WR
Allen Robinson II (NYG),1.0,3.0,33.3%,-1.0,-1.0,0.0,30.0%,0.0,0.0,0.0,0.0%,0.0,17.0,WR
Tyler Scott (CHI),1.0,3.0,33.3%,-1.0,-1.0,0.0,20.0%,0.0,0.0,0.0,0%,0.0,17.0,WR
Erik Ezukanma (MIA),0.0,0.0,0%,0.0,0.0,0.0,0.0%,1.0,-1.0,0.0,100.0%,0.0,2.0,WR
Derius Davis (LAC),1.0,1.0,100.0%,-3.0,-3.0,0.0,4.0%,0.0,0.0,0.0,0.0%,0.0,17.0,WR
Jerry Jeudy (CLE),2.0,5.0,40.0%,-5.0,-2.5,0.0,27.8%,0.0,0.0,0.0,0%,0.0,16.0,WR
Christian Kirk (JAC),1.0,2.0,50.0%,2.0,2.0,0.0,10.0%,0.0,0.0,0.0,0%,1.0,12.0,WR
,,,,,,,,,,,,,,WR
,,,,,,,,,,,,,,WR
Travis Kelce (KC),6.0,10.0,60.0%,23.0,3.8,5.0,76.9%,0.0,0.0,0.0,0.0%,0.0,15.0,TE
Taysom Hill (NO),1.0,3.0,33.3%,2.0,2.0,1.0,23.1%,17.0,23.0,3.0,100.0%,0.0,16.0,TE
Sam LaPorta (DET),6.0,9.0,66.7%,32.0,5.3,4.0,90.0%,0.0,0.0,0.0,0%,0.0,17.0,TE
Cole Kmet (CHI),5.0,6.0,83.3%,25.0,5.0,4.0,85.7%,1.0,1.0,0.0,100.0%,0.0,17.0,TE
Mark Andrews (BAL),5.0,7.0,71.4%,22.0,4.4,4.0,70.0%,0.0,0.0,0.0,0%,0.0,10.0,TE
Jimmy Graham (FA),4.0,4.0,100.0%,19.0,4.8,4.0,30.8%,0.0,0.0,0.0,0.0%,0.0,13.0,TE
Adam Trautman (DEN),5.0,9.0,55.6%,29.0,5.8,3.0,81.8%,0.0,0.0,0.0,0%,0.0,17.0,TE
Hunter Henry (NE),3.0,4.0,75.0%,23.0,7.7,3.0,66.7%,0.0,0.0,0.0,0%,0.0,14.0,TE
Gerald Everett (CHI),5.0,7.0,71.4%,22.0,4.4,3.0,43.8%,0.0,0.0,0.0,0%,0.0,15.0,TE
Dalton Schultz (HOU),3.0,5.0,60.0%,16.0,5.3,3.0,62.5%,0.0,0.0,0.0,0.0%,0.0,15.0,TE
T.J. Hockenson (MIN),4.0,7.0,57.1%,14.0,3.5,3.0,53.8%,0.0,0.0,0.0,0%,0.0,15.0,TE
Harrison Bryant (LV),3.0,3.0,100.0%,13.0,4.3,3.0,23.1%,0.0,0.0,0.0,0%,0.0,17.0,TE
Logan Thomas (SF),3.0,6.0,50.0%,13.0,4.3,3.0,50.0%,0.0,0.0,0.0,0%,0.0,16.0,TE
Juwan Johnson (NO),3.0,3.0,100.0%,12.0,4.0,3.0,23.1%,0.0,0.0,0.0,0.0%,0.0,13.0,TE
Jake Ferguson (DAL),4.0,12.0,33.3%,12.0,3.0,3.0,70.6%,0.0,0.0,0.0,0.0%,0.0,17.0,TE
Donald Parham Jr. (LAC),4.0,7.0,57.1%,10.0,2.5,3.0,43.8%,0.0,0.0,0.0,0%,0.0,14.0,TE
Tommy Tremble (CAR),3.0,3.0,100.0%,6.0,2.0,3.0,42.9%,0.0,0.0,0.0,0%,0.0,16.0,TE
Tucker Kraft (GB),3.0,3.0,100.0%,22.0,7.3,2.0,60.0%,0.0,0.0,0.0,0%,0.0,17.0,TE
George Kittle (SF),3.0,4.0,75.0%,18.0,6.0,2.0,100.0%,0.0,0.0,0.0,0%,0.0,16.0,TE
Dallas Goedert (PHI),2.0,3.0,66.7%,15.0,7.5,2.0,100.0%,0.0,0.0,0.0,0%,0.0,14.0,TE
Tyler Higbee (LAR),2.0,4.0,50.0%,12.0,6.0,2.0,80.0%,0.0,0.0,0.0,0%,0.0,15.0,TE
Evan Engram (JAC),2.0,4.0,50.0%,12.0,6.0,2.0,50.0%,0.0,0.0,0.0,0%,0.0,17.0,TE
Josh Oliver (MIN),2.0,3.0,66.7%,7.0,3.5,2.0,23.1%,0.0,0.0,0.0,0%,0.0,17.0,TE
Cade Otton (TB),2.0,3.0,66.7%,7.0,3.5,2.0,75.0%,0.0,0.0,0.0,0%,0.0,17.0,TE
David Njoku (CLE),3.0,10.0,30.0%,7.0,2.3,2.0,76.9%,0.0,0.0,0.0,0%,0.0,16.0,TE
Andrew Beck (HOU),2.0,2.0,100.0%,0.0,0.0,1.0,25.0%,3.0,1.0,1.0,100.0%,0.0,15.0,TE
Isaiah Likely (BAL),3.0,3.0,100.0%,16.0,5.3,1.0,30.0%,0.0,0.0,0.0,0%,0.0,17.0,TE
Michael Mayer (LV),2.0,2.0,100.0%,14.0,7.0,1.0,100.0%,0.0,0.0,0.0,0%,0.0,14.0,TE
Johnny Mundt (MIN),2.0,3.0,66.7%,14.0,7.0,1.0,23.1%,0.0,0.0,0.0,0%,0.0,17.0,TE
Kyle Pitts (ATL),2.0,3.0,66.7%,12.0,6.0,1.0,30.0%,0.0,0.0,0.0,0.0%,0.0,17.0,TE
Brenton Strange (JAC),2.0,3.0,66.7%,11.0,5.5,1.0,37.5%,0.0,0.0,0.0,0%,0.0,14.0,TE
Zach Ertz (WAS),2.0,2.0,100.0%,9.0,4.5,1.0,25.0%,0.0,0.0,0.0,0%,0.0,7.0,TE
Jonnu Smith (MIA),3.0,5.0,60.0%,9.0,3.0,1.0,50.0%,1.0,0.0,0.0,100.0%,0.0,17.0,TE
Trey McBride (ARI),2.0,5.0,40.0%,8.0,4.0,1.0,62.5%,0.0,0.0,0.0,0%,0.0,17.0,TE
Elijah Higgins (ARI),1.0,1.0,100.0%,8.0,8.0,1.0,12.5%,0.0,0.0,0.0,0%,0.0,11.0,TE
Foster Moreau (NO),2.0,3.0,66.7%,7.0,3.5,1.0,23.1%,0.0,0.0,0.0,0.0%,0.0,15.0,TE
Davis Allen (LAR),1.0,1.0,100.0%,7.0,7.0,1.0,20.0%,0.0,0.0,0.0,0%,0.0,15.0,TE
Kylen Granson (IND),2.0,4.0,50.0%,5.0,2.5,1.0,57.1%,0.0,0.0,0.0,0%,0.0,15.0,TE
Drew Ogletree (IND),1.0,2.0,50.0%,5.0,5.0,1.0,28.6%,0.0,0.0,0.0,0%,0.0,12.0,TE
Dawson Knox (BUF),2.0,3.0,66.7%,5.0,2.5,1.0,42.9%,0.0,0.0,0.0,0%,0.0,12.0,TE
Colby Parkinson (LAR),2.0,4.0,50.0%,4.0,2.0,1.0,100.0%,0.0,0.0,0.0,0%,0.0,17.0,TE
Hayden Hurst (LAC),1.0,3.0,33.3%,4.0,4.0,1.0,42.9%,0.0,0.0,0.0,0%,0.0,10.0,TE
Brevin Jordan (HOU),1.0,1.0,100.0%,4.0,4.0,1.0,12.5%,0.0,0.0,0.0,0.0%,0.0,13.0,TE
Blake Bell (FA),1.0,1.0,100.0%,4.0,4.0,1.0,7.7%,0.0,0.0,0.0,0.0%,0.0,17.0,TE
Noah Gray (KC),1.0,2.0,50.0%,2.0,2.0,1.0,15.4%,1.0,1.0,0.0,100.0%,0.0,17.0,TE
Pat Freiermuth (PIT),1.0,2.0,50.0%,3.0,3.0,1.0,50.0%,0.0,0.0,0.0,0%,0.0,12.0,TE
Lucas Krull (DEN),1.0,2.0,50.0%,3.0,3.0,1.0,18.2%,0.0,0.0,0.0,0%,0.0,7.0,TE
Ko Kieft (TB),1.0,1.0,100.0%,2.0,2.0,1.0,25.0%,0.0,0.0,0.0,0%,0.0,16.0,TE
Mo Alie-Cox (IND),1.0,1.0,100.0%,2.0,2.0,1.0,14.3%,0.0,0.0,0.0,0%,0.0,17.0,TE
Josh Whyle (TEN),1.0,2.0,50.0%,2.0,2.0,1.0,33.3%,0.0,0.0,0.0,0%,0.0,11.0,TE
