Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS.1,TD.1,FL,G,POS
CeeDee Lamb (DAL),135.0,181.0,"1,749",13.0,92.0,29.0,12.0,14.0,113.0,2.0,2.0,17.0,WR
Tyreek Hill (MIA),119.0,171.0,"1,799",15.1,78.0,29.0,13.0,6.0,15.0,0.0,1.0,16.0,WR
Amon-Ra St. Brown (DET),119.0,164.0,"1,515",12.7,70.0,24.0,10.0,4.0,24.0,0.0,1.0,16.0,WR
Mike Evans (TB),79.0,136.0,"1,255",15.9,75.0,20.0,13.0,0.0,0.0,0.0,0.0,17.0,WR
Puka Nacua (LAR),105.0,160.0,"1,486",14.2,80.0,25.0,6.0,12.0,89.0,0.0,0.0,17.0,WR
DJ Moore (CHI),96.0,136.0,"1,364",14.2,58.0,25.0,8.0,4.0,21.0,1.0,1.0,17.0,WR
Deebo Samuel Sr. (SF),60.0,89.0,892,14.9,54.0,15.0,7.0,37.0,225.0,5.0,0.0,15.0,WR
A.J. Brown (PHI),106.0,158.0,"1,456",13.7,59.0,21.0,7.0,0.0,0.0,0.0,2.0,17.0,WR
Nico Collins (HOU),80.0,109.0,"1,297",16.2,75.0,25.0,8.0,1.0,7.0,0.0,0.0,15.0,WR
Brandon Aiyuk (SF),75.0,105.0,"1,342",17.9,76.0,28.0,7.0,0.0,0.0,0.0,1.0,16.0,WR
Keenan Allen (CHI),108.0,150.0,"1,243",11.5,42.0,19.0,7.0,2.0,6.0,0.0,1.0,13.0,WR
Stefon Diggs (HOU),107.0,160.0,"1,183",11.1,55.0,10.0,8.0,1.0,5.0,0.0,1.0,17.0,WR
Ja'Marr Chase (CIN),100.0,145.0,"1,216",12.2,76.0,14.0,7.0,3.0,-6.0,0.0,0.0,16.0,WR
Davante Adams (LV),103.0,175.0,"1,144",11.1,46.0,13.0,8.0,0.0,0.0,0.0,0.0,17.0,WR
DK Metcalf (SEA),66.0,119.0,"1,114",16.9,73.0,19.0,8.0,0.0,0.0,0.0,0.0,16.0,WR
Amari Cooper (CLE),72.0,128.0,"1,250",17.4,75.0,21.0,5.0,0.0,0.0,0.0,1.0,15.0,WR
Calvin Ridley (TEN),76.0,136.0,"1,016",13.4,59.0,17.0,8.0,9.0,23.0,0.0,0.0,17.0,WR
Jayden Reed (GB),64.0,94.0,793,12.4,59.0,13.0,8.0,11.0,119.0,2.0,0.0,16.0,WR
Jordan Addison (MIN),70.0,108.0,911,13.0,62.0,15.0,10.0,1.0,2.0,0.0,0.0,17.0,WR
DeAndre Hopkins (TEN),75.0,137.0,"1,057",14.1,61.0,15.0,7.0,2.0,9.0,0.0,0.0,17.0,WR
Jakobi Meyers (LV),71.0,106.0,807,11.4,33.0,8.0,8.0,4.0,24.0,2.0,0.0,16.0,WR
DeVonta Smith (PHI),81.0,112.0,"1,066",13.2,63.0,14.0,7.0,0.0,0.0,0.0,1.0,16.0,WR
George Pickens (PIT),63.0,106.0,"1,140",18.1,86.0,22.0,5.0,3.0,18.0,0.0,0.0,17.0,WR
Chris Olave (NO),87.0,138.0,"1,123",12.9,51.0,16.0,5.0,0.0,0.0,0.0,0.0,16.0,WR
Michael Pittman Jr. (IND),109.0,156.0,"1,152",10.6,75.0,10.0,4.0,0.0,0.0,0.0,1.0,16.0,WR
Justin Jefferson (MIN),68.0,100.0,"1,074",15.8,52.0,25.0,5.0,1.0,-12.0,0.0,1.0,10.0,WR
Rashee Rice (KC),79.0,102.0,938,11.9,67.0,10.0,7.0,1.0,-3.0,0.0,1.0,16.0,WR
Courtland Sutton (DEN),59.0,90.0,772,13.1,46.0,14.0,10.0,0.0,0.0,0.0,3.0,16.0,WR
Zay Flowers (BAL),77.0,108.0,858,11.1,75.0,12.0,5.0,8.0,56.0,1.0,0.0,16.0,WR
