Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS.1,TD.1,FL,G,POS
Adam Thielen (CAR),103.0,137.0,"1,014",9.8,32.0,9.0,4.0,1.0,6.0,0.0,0.0,17.0,WR
Jaylen Waddle (MIA),72.0,104.0,"1,014",14.1,60.0,12.0,4.0,3.0,12.0,0.0,0.0,14.0,WR
Chris Godwin (TB),83.0,130.0,"1,024",12.3,47.0,14.0,2.0,4.0,38.0,1.0,0.0,17.0,WR
Terry McLaurin (WAS),79.0,132.0,"1,002",12.7,48.0,15.0,4.0,0.0,0.0,0.0,0.0,17.0,WR
Tyler Lockett (SEA),79.0,122.0,894,11.3,37.0,9.0,5.0,0.0,0.0,0.0,0.0,17.0,WR
Brandin Cooks (DAL),54.0,81.0,657,12.2,37.0,11.0,8.0,5.0,35.0,0.0,0.0,16.0,WR
Garrett Wilson (NYJ),95.0,168.0,"1,042",11.0,68.0,11.0,3.0,4.0,0.0,0.0,2.0,17.0,WR
Tank Dell (HOU),47.0,75.0,709,15.1,68.0,10.0,7.0,11.0,51.0,0.0,0.0,11.0,WR
Gabe Davis (JAC),45.0,81.0,746,16.6,57.0,12.0,7.0,1.0,-2.0,0.0,1.0,17.0,WR
Romeo Doubs (GB),59.0,96.0,674,11.4,36.0,7.0,8.0,0.0,0.0,0.0,0.0,17.0,WR
Rashid Shaheed (NO),46.0,75.0,719,15.6,58.0,12.0,5.0,7.0,37.0,0.0,1.0,16.0,WR
Cooper Kupp (LAR),59.0,95.0,737,12.5,62.0,10.0,5.0,1.0,-3.0,0.0,0.0,12.0,WR
Drake London (ATL),69.0,110.0,905,13.1,45.0,17.0,2.0,0.0,0.0,0.0,0.0,16.0,WR
Diontae Johnson (CAR),51.0,87.0,717,14.1,71.0,10.0,5.0,0.0,0.0,0.0,0.0,13.0,WR
Darius Slayton (NYG),50.0,79.0,770,15.4,80.0,11.0,4.0,0.0,0.0,0.0,0.0,17.0,WR
Tee Higgins (CIN),42.0,76.0,656,15.6,80.0,8.0,5.0,0.0,0.0,0.0,0.0,12.0,WR
Curtis Samuel (BUF),62.0,91.0,613,9.9,37.0,7.0,4.0,7.0,39.0,1.0,0.0,16.0,WR
Christian Kirk (JAC),57.0,85.0,787,13.8,57.0,13.0,3.0,1.0,6.0,0.0,2.0,12.0,WR
Josh Downs (IND),68.0,98.0,771,11.3,59.0,10.0,2.0,0.0,0.0,0.0,0.0,17.0,WR
Josh Reynolds (DEN),40.0,64.0,608,15.2,33.0,17.0,5.0,0.0,0.0,0.0,1.0,17.0,WR
Jerry Jeudy (CLE),54.0,87.0,758,14.0,47.0,10.0,2.0,0.0,0.0,0.0,0.0,16.0,WR
Jaxon Smith-Njigba (SEA),63.0,93.0,628,10.0,35.0,7.0,4.0,0.0,0.0,0.0,0.0,17.0,WR
Hollywood Brown (KC),51.0,101.0,574,11.3,41.0,8.0,4.0,2.0,23.0,0.0,0.0,14.0,WR
Dontayvion Wicks (GB),39.0,58.0,581,14.9,35.0,11.0,4.0,1.0,1.0,0.0,1.0,15.0,WR
DJ Chark Jr. (LAC),35.0,66.0,525,15.0,47.0,9.0,5.0,0.0,0.0,0.0,1.0,15.0,WR
Tyler Boyd (TEN),67.0,98.0,667,10.0,64.0,6.0,2.0,2.0,11.0,0.0,0.0,17.0,WR
Michael Wilson (ARI),38.0,58.0,565,14.9,69.0,7.0,3.0,0.0,0.0,0.0,0.0,13.0,WR
Jahan Dotson (WAS),49.0,83.0,518,10.6,33.0,5.0,4.0,0.0,0.0,0.0,0.0,17.0,WR
Khalil Shakir (BUF),39.0,45.0,611,15.7,81.0,10.0,2.0,1.0,10.0,0.0,0.0,17.0,WR
Tutu Atwell (LAR),39.0,67.0,483,12.4,44.0,8.0,3.0,5.0,31.0,0.0,0.0,16.0,WR
Christian Watson (GB),28.0,53.0,422,15.1,77.0,5.0,5.0,4.0,11.0,0.0,0.0,9.0,WR
Wan'Dale Robinson (NYG),60.0,78.0,525,8.8,33.0,7.0,1.0,9.0,87.0,1.0,0.0,15.0,WR
Elijah Moore (CLE),59.0,104.0,640,10.8,42.0,9.0,2.0,9.0,11.0,0.0,2.0,17.0,WR
Odell Beckham Jr. (MIA),35.0,64.0,565,16.1,51.0,10.0,3.0,0.0,0.0,0.0,1.0,14.0,WR
K.J. Osborn (NE),48.0,75.0,540,11.3,47.0,6.0,3.0,0.0,0.0,0.0,0.0,16.0,WR
Joshua Palmer (LAC),38.0,61.0,581,15.3,79.0,9.0,2.0,1.0,6.0,0.0,1.0,11.0,WR
Noah Brown (HOU),33.0,55.0,567,17.2,75.0,14.0,2.0,1.0,-1.0,0.0,0.0,10.0,WR
Rondale Moore (ATL),40.0,62.0,352,8.8,48.0,4.0,1.0,28.0,178.0,1.0,0.0,17.0,WR
Alec Pierce (IND),32.0,65.0,514,16.1,58.0,8.0,2.0,0.0,0.0,0.0,0.0,17.0,WR
Kendrick Bourne (NE),37.0,55.0,406,11.0,36.0,5.0,4.0,1.0,4.0,0.0,1.0,8.0,WR
Kalif Raymond (DET),35.0,44.0,489,14.0,41.0,9.0,1.0,7.0,75.0,0.0,0.0,17.0,WR
Nelson Agholor (BAL),35.0,45.0,381,10.9,37.0,4.0,4.0,0.0,0.0,0.0,0.0,17.0,WR
Justin Watson (KC),27.0,53.0,460,17.0,41.0,8.0,3.0,0.0,0.0,0.0,1.0,16.0,WR
Demarcus Robinson (LAR),26.0,39.0,371,14.3,37.0,7.0,4.0,1.0,23.0,0.0,1.0,13.0,WR
DeMario Douglas (NE),49.0,79.0,561,11.4,42.0,6.0,0.0,8.0,41.0,0.0,1.0,14.0,WR
Nick Westbrook-Ikhine (TEN),28.0,45.0,370,13.2,33.0,8.0,3.0,0.0,0.0,0.0,0.0,14.0,WR
Trey Palmer (TB),39.0,68.0,385,9.9,54.0,6.0,3.0,3.0,22.0,0.0,1.0,17.0,WR
Jameson Williams (DET),24.0,42.0,354,14.8,63.0,5.0,2.0,3.0,29.0,1.0,0.0,12.0,WR
Quentin Johnston (LAC),38.0,67.0,431,11.3,57.0,5.0,2.0,3.0,9.0,0.0,0.0,17.0,WR
Brandon Johnson (DEN),19.0,30.0,284,14.9,50.0,6.0,4.0,0.0,0.0,0.0,0.0,13.0,WR
Michael Gallup (FA),34.0,57.0,418,12.3,41.0,6.0,2.0,0.0,0.0,0.0,0.0,17.0,WR
Tre Tucker (LV),19.0,34.0,331,17.4,50.0,6.0,2.0,10.0,77.0,0.0,0.0,16.0,WR
Michael Thomas (FA),39.0,64.0,448,11.5,31.0,4.0,1.0,0.0,0.0,0.0,0.0,10.0,WR
Robert Woods (HOU),40.0,75.0,426,10.7,26.0,2.0,1.0,1.0,7.0,0.0,0.0,14.0,WR
Marvin Mims Jr. (DEN),22.0,33.0,377,17.1,60.0,6.0,1.0,9.0,30.0,0.0,2.0,16.0,WR
A.T. Perry (NO),12.0,18.0,246,20.5,44.0,5.0,4.0,0.0,0.0,0.0,0.0,10.0,WR
Darnell Mooney (ATL),31.0,61.0,414,13.4,41.0,7.0,1.0,2.0,5.0,0.0,0.0,15.0,WR
KaVontae Turpin (DAL),12.0,18.0,127,10.6,34.0,2.0,3.0,11.0,110.0,1.0,0.0,16.0,WR
Cedrick Wilson Jr. (NO),22.0,38.0,296,13.5,31.0,5.0,3.0,0.0,0.0,0.0,0.0,15.0,WR
Chris Moore (ARI),22.0,35.0,424,19.3,49.0,9.0,0.0,2.0,39.0,0.0,0.0,17.0,WR
Rashod Bateman (BAL),32.0,56.0,367,11.5,29.0,2.0,1.0,1.0,18.0,0.0,0.0,16.0,WR
Zay Jones (ARI),34.0,64.0,321,9.4,36.0,3.0,2.0,0.0,0.0,0.0,0.0,9.0,WR
Jonathan Mingo (CAR),43.0,85.0,418,9.7,40.0,6.0,0.0,0.0,0.0,0.0,0.0,15.0,WR
Greg Dortch (ARI),24.0,41.0,280,11.7,38.0,3.0,2.0,1.0,5.0,0.0,0.0,16.0,WR
DeVante Parker (FA),33.0,55.0,394,11.9,30.0,6.0,0.0,0.0,0.0,0.0,0.0,13.0,WR
Isaiah Hodgins (NYG),21.0,33.0,230,11.0,24.0,1.0,3.0,0.0,0.0,0.0,1.0,17.0,WR
Brandon Powell (MIN),29.0,44.0,324,11.2,28.0,6.0,1.0,5.0,17.0,0.0,1.0,17.0,WR
Jake Bobo (SEA),19.0,25.0,196,10.3,31.0,3.0,2.0,1.0,3.0,1.0,0.0,17.0,WR
Xavier Gipson (NYJ),21.0,38.0,229,10.9,36.0,4.0,0.0,8.0,68.0,1.0,2.0,17.0,WR
Trenton Irwin (CIN),25.0,32.0,316,12.6,32.0,7.0,1.0,0.0,0.0,0.0,0.0,16.0,WR
Jalin Hyatt (NYG),23.0,40.0,373,16.2,58.0,7.0,0.0,0.0,0.0,0.0,0.0,17.0,WR
Allen Lazard (NYJ),23.0,49.0,311,13.5,39.0,5.0,1.0,0.0,0.0,0.0,0.0,14.0,WR
Jalen Tolbert (DAL),22.0,36.0,268,12.2,45.0,3.0,2.0,0.0,0.0,0.0,1.0,17.0,WR
Calvin Austin III (PIT),17.0,30.0,180,10.6,72.0,1.0,1.0,11.0,57.0,1.0,0.0,17.0,WR
Andrei Iosivas (CIN),15.0,25.0,116,7.7,16.0,0.0,4.0,0.0,0.0,0.0,0.0,16.0,WR
Marquez Valdes-Scantling (BUF),21.0,42.0,315,15.0,46.0,5.0,1.0,0.0,0.0,0.0,1.0,16.0,WR
David Bell (CLE),14.0,23.0,167,11.9,41.0,3.0,3.0,0.0,0.0,0.0,0.0,15.0,WR
Lil'Jordan Humphrey (DEN),13.0,19.0,162,12.5,54.0,1.0,3.0,0.0,0.0,0.0,0.0,17.0,WR
Skyy Moore (KC),21.0,38.0,244,11.6,54.0,3.0,1.0,3.0,23.0,0.0,0.0,14.0,WR
Jauan Jennings (SF),19.0,33.0,265,13.9,31.0,4.0,1.0,0.0,0.0,0.0,0.0,13.0,WR
JuJu Smith-Schuster (NE),29.0,47.0,260,9.0,37.0,3.0,1.0,0.0,0.0,0.0,0.0,11.0,WR
Mike Williams (NYJ),19.0,26.0,249,13.1,49.0,4.0,1.0,1.0,3.0,0.0,0.0,3.0,WR
Braxton Berrios (MIA),27.0,33.0,238,8.8,22.0,1.0,1.0,1.0,11.0,0.0,0.0,16.0,WR
Bo Melton (GB),16.0,24.0,218,13.6,37.0,3.0,1.0,3.0,21.0,0.0,0.0,4.0,WR
Alex Erickson (FA),16.0,29.0,232,14.5,27.0,4.0,1.0,0.0,0.0,0.0,0.0,8.0,WR
Olamide Zaccheaus (WAS),10.0,20.0,164,16.4,34.0,4.0,2.0,0.0,0.0,0.0,0.0,17.0,WR
Scotty Miller (PIT),11.0,16.0,161,14.6,56.0,2.0,2.0,0.0,0.0,0.0,0.0,17.0,WR
Allen Robinson II (NYG),34.0,49.0,280,8.2,31.0,2.0,0.0,0.0,0.0,0.0,0.0,17.0,WR
Jamal Agnew (FA),14.0,21.0,225,16.1,65.0,2.0,1.0,4.0,-2.0,0.0,1.0,11.0,WR
Kadarius Toney (KC),27.0,38.0,169,6.3,18.0,0.0,1.0,11.0,31.0,0.0,0.0,13.0,WR
Julio Jones (FA),11.0,19.0,74,6.7,22.0,1.0,3.0,0.0,0.0,0.0,0.0,11.0,WR
Mack Hollins (BUF),18.0,30.0,251,13.9,45.0,3.0,0.0,0.0,0.0,0.0,0.0,13.0,WR
Deonte Harty (BAL),15.0,21.0,150,10.0,43.0,2.0,1.0,4.0,0.0,0.0,1.0,16.0,WR
Ronnie Bell (SF),6.0,13.0,68,11.3,20.0,1.0,3.0,0.0,0.0,0.0,0.0,16.0,WR
Ihmir Smith-Marsette (CAR),8.0,10.0,51,6.4,18.0,0.0,0.0,8.0,74.0,1.0,0.0,17.0,WR
Treylon Burks (TEN),16.0,30.0,221,13.8,70.0,4.0,0.0,5.0,18.0,0.0,0.0,11.0,WR
Hunter Renfrow (FA),25.0,37.0,255,10.2,38.0,3.0,0.0,0.0,0.0,0.0,1.0,17.0,WR
Parker Washington (JAC),16.0,21.0,132,8.3,19.0,0.0,2.0,0.0,0.0,0.0,1.0,9.0,WR
KhaDarel Hodge (ATL),14.0,23.0,232,16.6,52.0,3.0,0.0,1.0,0.0,0.0,0.0,17.0,WR
Cedric Tillman (CLE),21.0,44.0,224,10.7,23.0,1.0,0.0,1.0,8.0,0.0,0.0,14.0,WR
Dyami Brown (WAS),12.0,23.0,168,14.0,35.0,2.0,1.0,1.0,0.0,0.0,0.0,17.0,WR
Jalen Reagor (NE),7.0,23.0,138,19.7,39.0,3.0,0.0,1.0,17.0,0.0,0.0,11.0,WR
Van Jefferson (PIT),20.0,43.0,209,10.5,46.0,1.0,0.0,1.0,4.0,0.0,0.0,17.0,WR
Derius Davis (LAC),15.0,17.0,66,4.4,18.0,0.0,0.0,14.0,101.0,0.0,1.0,17.0,WR
Quez Watkins (PIT),15.0,21.0,142,9.5,19.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,WR
Jamison Crowder (WAS),16.0,20.0,159,9.9,26.0,1.0,1.0,0.0,0.0,0.0,1.0,17.0,WR
Tyler Scott (CHI),17.0,32.0,168,9.9,30.0,1.0,0.0,7.0,41.0,0.0,1.0,17.0,WR
Robbie Chosen (FA),4.0,6.0,126,31.5,68.0,2.0,1.0,0.0,0.0,0.0,0.0,9.0,WR
Malik Heath (GB),15.0,24.0,125,8.3,16.0,0.0,1.0,0.0,0.0,0.0,0.0,13.0,WR
River Cracraft (MIA),9.0,12.0,121,13.4,24.0,2.0,1.0,0.0,0.0,0.0,0.0,10.0,WR
Deven Thompkins (FA),17.0,25.0,83,4.9,26.0,1.0,1.0,8.0,56.0,0.0,1.0,17.0,WR
Ray-Ray McCloud III (ATL),12.0,15.0,135,11.3,41.0,2.0,0.0,3.0,30.0,0.0,0.0,12.0,WR
John Metchie III (HOU),16.0,30.0,158,9.9,22.0,1.0,0.0,1.0,4.0,0.0,0.0,16.0,WR
Kyle Philips (TEN),15.0,22.0,181,12.1,29.0,4.0,0.0,0.0,0.0,0.0,1.0,9.0,WR
Donovan Peoples-Jones (DET),13.0,25.0,155,11.9,29.0,2.0,0.0,0.0,0.0,0.0,0.0,15.0,WR
David Moore (CAR),5.0,7.0,94,18.8,52.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,WR
Jalen Guyton (LV),10.0,21.0,89,8.9,18.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,WR
Trent Sherfield Sr. (MIN),11.0,22.0,86,7.8,12.0,0.0,1.0,0.0,0.0,0.0,0.0,17.0,WR
Tyquan Thornton (NE),13.0,23.0,91,7.0,15.0,0.0,0.0,3.0,51.0,0.0,0.0,9.0,WR
Byron Pringle (FA),14.0,22.0,161,11.5,26.0,1.0,0.0,0.0,0.0,0.0,1.0,16.0,WR
Terrace Marshall Jr. (CAR),19.0,33.0,139,7.3,14.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,WR
Xavier Hutchinson (HOU),8.0,19.0,90,11.3,34.0,1.0,0.0,5.0,49.0,0.0,0.0,15.0,WR
Charlie Jones (CIN),7.0,9.0,64,9.1,35.0,1.0,0.0,2.0,13.0,0.0,0.0,11.0,WR
Chase Claypool (BUF),8.0,21.0,77,9.6,20.0,1.0,1.0,0.0,0.0,0.0,0.0,11.0,WR
Ben Skowronek (HOU),8.0,12.0,66,8.3,20.0,1.0,1.0,2.0,9.0,0.0,0.0,17.0,WR
Randall Cobb (FA),5.0,17.0,39,7.8,15.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,WR
D.J. Montgomery (IND),3.0,8.0,56,18.7,34.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,WR
Jason Brownlee (NYJ),5.0,8.0,56,11.2,24.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,WR
Lynn Bowden Jr. (FA),11.0,16.0,83,7.5,17.0,0.0,0.0,5.0,32.0,0.0,0.0,15.0,WR
Laviska Shenault Jr. (SEA),10.0,10.0,60,6.0,14.0,0.0,0.0,12.0,55.0,0.0,0.0,8.0,WR
Mecole Hardman Jr. (KC),15.0,24.0,124,8.3,37.0,1.0,0.0,1.0,3.0,0.0,1.0,10.0,WR
Parris Campbell (PHI),20.0,27.0,104,5.2,17.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,WR
Sterling Shepard (TB),10.0,22.0,57,5.7,13.0,0.0,1.0,1.0,6.0,0.0,1.0,15.0,WR
Marquise Goodwin (FA),4.0,13.0,67,16.8,57.0,1.0,0.0,4.0,33.0,0.0,0.0,12.0,WR
Keith Kirkwood (BAL),5.0,9.0,37,7.4,13.0,0.0,1.0,0.0,0.0,0.0,0.0,13.0,WR
Lawrence Cager (NYG),4.0,5.0,36,9.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,WR
Richie James Jr. (FA),10.0,14.0,114,11.4,45.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,WR
Tim Jones (JAC),11.0,18.0,83,7.5,15.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,WR
Samori Toure (GB),8.0,18.0,78,9.8,35.0,1.0,0.0,0.0,0.0,0.0,1.0,11.0,WR
Tylan Wallace (BAL),1.0,2.0,11,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,WR
Velus Jones Jr. (CHI),4.0,7.0,20,5.0,11.0,0.0,0.0,8.0,51.0,0.0,0.0,14.0,WR
Chris Conley (SF),3.0,6.0,69,23.0,48.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,WR
Simi Fehoko (LAC),1.0,2.0,9,9.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,WR
Tyler Johnson (LAR),2.0,3.0,8,4.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,WR
Jalen Brooks (DAL),6.0,6.0,64,10.7,24.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,WR
Equanimeous St. Brown (NO),5.0,6.0,62,12.4,21.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,WR
Rakim Jarrett (TB),4.0,9.0,60,15.0,41.0,1.0,0.0,1.0,0.0,0.0,0.0,10.0,WR
DeAndre Carter (CHI),4.0,7.0,39,9.8,16.0,0.0,0.0,3.0,18.0,0.0,0.0,17.0,WR
Isaiah McKenzie (NYG),11.0,14.0,82,7.5,30.0,1.0,0.0,3.0,14.0,0.0,2.0,13.0,WR
Justyn Ross (KC),6.0,11.0,53,8.8,20.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,WR
Mike Strachan (CAR),1.0,3.0,45,45.0,45.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,WR
Britain Covey (PHI),4.0,6.0,42,10.5,22.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,WR
Elijah Cooks (JAC),3.0,4.0,38,12.7,23.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,WR
Devin Duvernay (JAC),4.0,9.0,18,4.5,10.0,0.0,0.0,4.0,15.0,0.0,0.0,13.0,WR
Keelan Doss (FA),6.0,13.0,33,5.5,9.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,WR
Trishton Jackson (MIN),2.0,4.0,9,4.5,7.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,WR
Jalen Nailor (MIN),3.0,6.0,29,9.7,16.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,WR
Steven Sims Jr. (HOU),3.0,3.0,25,8.3,23.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,WR
Erik Ezukanma (MIA),0.0,1.0,0,0.0,0.0,0.0,0.0,5.0,22.0,0.0,0.0,2.0,WR
Gunner Olszewski (NYG),1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,WR
Zach Pascal (ARI),4.0,15.0,19,4.8,9.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,WR
Kayshon Boutte (NE),2.0,7.0,19,9.5,11.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,WR
Miles Boykin (NYG),3.0,4.0,17,5.7,6.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,WR
Laquon Treadwell (FA),1.0,3.0,16,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,WR
Marvin Jones Jr. (FA),5.0,10.0,35,7.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,WR
Willie Snead IV (FA),2.0,3.0,14,7.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,WR
Malik Taylor (NYJ),2.0,4.0,13,6.5,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,WR
Collin Johnson (CHI),1.0,1.0,11,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,WR
Cody Thompson (TB),1.0,1.0,10,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,WR
Austin Trammell (JAC),4.0,7.0,29,7.3,14.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,WR
Mason Kinsey (TEN),1.0,1.0,6,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,WR
Dee Eskridge (SEA),0.0,1.0,0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,4.0,WR
Colton Dowell (TEN),1.0,2.0,3,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,WR
Kwamie Lassiter II (CIN),1.0,1.0,2,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,WR
Antoine Green (DET),1.0,2.0,2,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,WR
KJ Hamler (BUF),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Marcus Simms (SEA),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Tom Kennedy (DET),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Cody White (SEA),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Freddie Swain (CHI),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Austin Mack (ATL),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Tyrie Cleveland (IND),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Denzel Mims (JAC),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Marquez Callaway (PIT),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,WR
Easop Winston Jr. (SEA),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,WR
Quintez Cephus (HOU),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Ashton Dulin (IND),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Stanley Morgan Jr. (NO),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,WR
David Sills (DEN),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,WR
Davion Davis (WAS),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Andy Isabella (BUF),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,WR
Juwann Winfree (IND),0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,WR
Nsimba Webster (CHI),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Alex Bachman (LV),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
