Player,REC,TGT,REC PCT,YDS,Y/R,TD,TGT PCT,ATT,YDS.1,TD.1,PCT,FL,G,POS
Jimmy Graham (FA),5.0,5.0,100.0%,31.0,6.2,4.0,22.7%,0.0,0.0,0.0,0.0%,0.0,13.0,TE
Logan Thomas (SF),4.0,9.0,44.4%,28.0,7.0,4.0,56.3%,0.0,0.0,0.0,0%,0.0,16.0,TE
George Kittle (SF),9.0,13.0,69.2%,70.0,7.8,3.0,86.7%,0.0,0.0,0.0,0%,0.0,16.0,TE
Dallas Goedert (PHI),6.0,10.0,60.0%,46.0,7.7,3.0,76.9%,1.0,1.0,0.0,100.0%,0.0,14.0,TE
Adam Trautman (DEN),6.0,13.0,46.2%,44.0,7.3,3.0,81.3%,0.0,0.0,0.0,0%,0.0,17.0,TE
David Njoku (CLE),8.0,20.0,40.0%,41.0,5.1,3.0,80.0%,0.0,0.0,0.0,0%,0.0,16.0,TE
Juwan Johnson (NO),7.0,8.0,87.5%,36.0,5.1,3.0,36.4%,0.0,0.0,0.0,0.0%,0.0,13.0,TE
Gerald Everett (CHI),8.0,11.0,72.7%,35.0,4.4,3.0,47.8%,0.0,0.0,0.0,0%,0.0,15.0,TE
Harrison Bryant (LV),4.0,5.0,80.0%,18.0,4.5,3.0,20.0%,0.0,0.0,0.0,0%,0.0,17.0,TE
Tommy Tremble (CAR),4.0,4.0,100.0%,6.0,1.5,3.0,40.0%,0.0,0.0,0.0,0%,0.0,16.0,TE
Isaiah Likely (BAL),6.0,7.0,85.7%,48.0,8.0,2.0,30.4%,0.0,0.0,0.0,0.0%,0.0,17.0,TE
Michael Mayer (LV),5.0,7.0,71.4%,46.0,9.2,2.0,87.5%,0.0,0.0,0.0,0%,0.0,14.0,TE
Trey McBride (ARI),6.0,9.0,66.7%,42.0,7.0,2.0,42.9%,0.0,0.0,0.0,0%,0.0,17.0,TE
Tucker Kraft (GB),5.0,8.0,62.5%,27.0,5.4,2.0,50.0%,0.0,0.0,0.0,0%,0.0,17.0,TE
Pat Freiermuth (PIT),3.0,6.0,50.0%,24.0,8.0,2.0,54.5%,0.0,0.0,0.0,0%,0.0,12.0,TE
Tyler Higbee (LAR),3.0,5.0,60.0%,24.0,8.0,2.0,62.5%,0.0,0.0,0.0,0%,0.0,15.0,TE
Mo Alie-Cox (IND),3.0,4.0,75.0%,23.0,7.7,2.0,30.8%,0.0,0.0,0.0,0%,0.0,17.0,TE
Mike Gesicki (CIN),3.0,5.0,60.0%,20.0,6.7,2.0,45.5%,0.0,0.0,0.0,0%,0.0,17.0,TE
Luke Schoonmaker (DAL),3.0,5.0,60.0%,19.0,6.3,2.0,15.6%,0.0,0.0,0.0,0.0%,0.0,17.0,TE
Josh Oliver (MIN),4.0,5.0,80.0%,19.0,4.8,2.0,21.7%,0.0,0.0,0.0,0%,0.0,17.0,TE
Brevin Jordan (HOU),2.0,2.0,100.0%,16.0,8.0,2.0,10.0%,0.0,0.0,0.0,0.0%,0.0,13.0,TE
Andrew Beck (HOU),3.0,4.0,75.0%,5.0,1.7,1.0,20.0%,3.0,1.0,1.0,100.0%,0.0,15.0,TE
Evan Engram (JAC),6.0,9.0,66.7%,19.0,3.2,2.0,64.3%,0.0,0.0,0.0,0%,1.0,17.0,TE
Charlie Kolar (BAL),2.0,2.0,100.0%,34.0,17.0,1.0,8.7%,0.0,0.0,0.0,0.0%,0.0,14.0,TE
Jonnu Smith (MIA),5.0,8.0,62.5%,31.0,6.2,1.0,47.1%,1.0,0.0,0.0,100.0%,0.0,17.0,TE
Darren Waller (FA),3.0,4.0,75.0%,31.0,10.3,1.0,57.1%,0.0,0.0,0.0,0%,0.0,12.0,TE
Luke Musgrave (GB),3.0,6.0,50.0%,31.0,10.3,1.0,37.5%,0.0,0.0,0.0,0%,0.0,11.0,TE
Brenton Strange (JAC),3.0,4.0,75.0%,28.0,9.3,1.0,28.6%,0.0,0.0,0.0,0%,0.0,14.0,TE
Tanner Hudson (CIN),3.0,3.0,100.0%,25.0,8.3,1.0,21.4%,0.0,0.0,0.0,0%,0.0,12.0,TE
Hayden Hurst (LAC),3.0,5.0,60.0%,25.0,8.3,1.0,50.0%,0.0,0.0,0.0,0%,0.0,10.0,TE
Drew Sample (CIN),3.0,3.0,100.0%,23.0,7.7,1.0,21.4%,0.0,0.0,0.0,0%,0.0,17.0,TE
MyCole Pruitt (PIT),1.0,4.0,25.0%,20.0,20.0,1.0,23.5%,0.0,0.0,0.0,0.0%,0.0,17.0,TE
Chigoziem Okonkwo (TEN),3.0,6.0,50.0%,19.0,6.3,1.0,50.0%,0.0,0.0,0.0,0%,0.0,17.0,TE
Kylen Granson (IND),4.0,6.0,66.7%,18.0,4.5,1.0,46.2%,0.0,0.0,0.0,0%,0.0,15.0,TE
Marcedes Lewis (CHI),2.0,2.0,100.0%,17.0,8.5,1.0,11.8%,0.0,0.0,0.0,0.0%,0.0,17.0,TE
Zach Ertz (WAS),3.0,8.0,37.5%,17.0,5.7,1.0,38.1%,0.0,0.0,0.0,0%,0.0,7.0,TE
Dawson Knox (BUF),3.0,7.0,42.9%,15.0,5.0,1.0,38.9%,0.0,0.0,0.0,0%,0.0,12.0,TE
Quintin Morris (BUF),1.0,2.0,50.0%,15.0,15.0,1.0,11.1%,0.0,0.0,0.0,0%,0.0,15.0,TE
Johnny Mundt (MIN),2.0,4.0,50.0%,14.0,7.0,1.0,17.4%,0.0,0.0,0.0,0%,0.0,17.0,TE
Kyle Pitts (ATL),3.0,5.0,60.0%,14.0,4.7,1.0,29.4%,0.0,0.0,0.0,0.0%,0.0,17.0,TE
Foster Moreau (NO),3.0,4.0,75.0%,13.0,4.3,1.0,18.2%,0.0,0.0,0.0,0.0%,0.0,15.0,TE
Davis Allen (LAR),2.0,2.0,100.0%,13.0,6.5,1.0,25.0%,0.0,0.0,0.0,0%,0.0,15.0,TE
Josh Whyle (TEN),2.0,5.0,40.0%,12.0,6.0,1.0,41.7%,0.0,0.0,0.0,0%,0.0,11.0,TE
Elijah Higgins (ARI),2.0,2.0,100.0%,12.0,6.0,1.0,9.5%,0.0,0.0,0.0,0%,0.0,11.0,TE
Colby Parkinson (LAR),4.0,8.0,50.0%,12.0,3.0,1.0,72.7%,0.0,0.0,0.0,0%,0.0,17.0,TE
Ben Sims (GB),2.0,2.0,100.0%,7.0,3.5,1.0,12.5%,0.0,0.0,0.0,0%,0.0,16.0,TE
Irv Smith Jr. (KC),5.0,6.0,83.3%,27.0,5.4,1.0,42.9%,0.0,0.0,0.0,0%,1.0,12.0,TE
C.J. Uzomah (PHI),2.0,4.0,50.0%,6.0,3.0,1.0,33.3%,0.0,0.0,0.0,0%,0.0,12.0,TE
Drew Ogletree (IND),1.0,2.0,50.0%,5.0,5.0,1.0,15.4%,0.0,0.0,0.0,0%,0.0,12.0,TE
Blake Bell (FA),1.0,1.0,100.0%,4.0,4.0,1.0,4.2%,0.0,0.0,0.0,0.0%,0.0,17.0,TE
Lucas Krull (DEN),1.0,2.0,50.0%,3.0,3.0,1.0,12.5%,0.0,0.0,0.0,0%,0.0,7.0,TE
Noah Gray (KC),1.0,3.0,33.3%,2.0,2.0,1.0,12.5%,1.0,1.0,0.0,100.0%,0.0,17.0,TE
Ko Kieft (TB),1.0,2.0,50.0%,2.0,2.0,1.0,14.3%,0.0,0.0,0.0,0%,0.0,16.0,TE
Dalton Kincaid (BUF),5.0,9.0,55.6%,27.0,5.4,0.0,50.0%,0.0,0.0,0.0,0%,0.0,16.0,TE
Robert Tonyan (MIN),2.0,2.0,100.0%,21.0,10.5,0.0,11.8%,0.0,0.0,0.0,0.0%,0.0,17.0,TE
Geoff Swaim (FA),2.0,2.0,100.0%,18.0,9.0,0.0,9.5%,0.0,0.0,0.0,0%,0.0,14.0,TE
Cole Turner (WAS),2.0,4.0,50.0%,17.0,8.5,0.0,25.0%,0.0,0.0,0.0,0%,0.0,12.0,TE
Jack Stoll (NYG),1.0,2.0,50.0%,14.0,14.0,0.0,15.4%,0.0,0.0,0.0,0.0%,0.0,17.0,TE
Durham Smythe (MIA),2.0,5.0,40.0%,14.0,7.0,0.0,83.3%,0.0,0.0,0.0,0%,0.0,16.0,TE
Darnell Washington (PIT),1.0,2.0,50.0%,12.0,12.0,0.0,18.2%,0.0,0.0,0.0,0%,0.0,17.0,TE
Ross Dwelley (ATL),1.0,1.0,100.0%,12.0,12.0,0.0,6.7%,0.0,0.0,0.0,0%,0.0,12.0,TE
Noah Fant (SEA),1.0,2.0,50.0%,12.0,12.0,0.0,18.2%,0.0,0.0,0.0,0%,0.0,17.0,TE
Payne Durham (TB),1.0,1.0,100.0%,12.0,12.0,0.0,7.1%,0.0,0.0,0.0,0%,0.0,13.0,TE
Tyler Conklin (NYJ),3.0,7.0,42.9%,11.0,3.7,0.0,58.3%,0.0,0.0,0.0,0%,0.0,17.0,TE
Connor Heyward (PIT),2.0,3.0,66.7%,11.0,5.5,0.0,27.3%,0.0,0.0,0.0,0%,0.0,17.0,TE
Mitchell Wilcox (NE),1.0,2.0,50.0%,10.0,10.0,0.0,14.3%,0.0,0.0,0.0,0%,0.0,17.0,TE
Grant Calcaterra (PHI),1.0,1.0,100.0%,9.0,9.0,0.0,7.7%,0.0,0.0,0.0,0.0%,0.0,14.0,TE
Daniel Bellinger (NYG),1.0,1.0,100.0%,7.0,7.0,0.0,14.3%,0.0,0.0,0.0,0%,0.0,17.0,TE
Kevin Rader (FA),1.0,1.0,100.0%,6.0,6.0,0.0,8.3%,0.0,0.0,0.0,0%,0.0,14.0,TE
Brycen Hopkins (FA),1.0,1.0,100.0%,5.0,5.0,0.0,12.5%,0.0,0.0,0.0,0%,0.0,15.0,TE
Austin Hooper (NE),1.0,1.0,100.0%,4.0,4.0,0.0,12.5%,0.0,0.0,0.0,0%,0.0,17.0,TE
Jeremy Ruckert (NYJ),1.0,1.0,100.0%,3.0,3.0,0.0,8.3%,0.0,0.0,0.0,0%,0.0,15.0,TE
Charlie Woerner (ATL),1.0,1.0,100.0%,3.0,3.0,0.0,6.7%,0.0,0.0,0.0,0%,0.0,17.0,TE
Brock Wright (DET),1.0,1.0,100.0%,2.0,2.0,0.0,6.3%,0.0,0.0,0.0,0%,0.0,14.0,TE
Chris Manhertz (NYG),0.0,1.0,0.0%,0.0,0.0,0.0,6.3%,0.0,0.0,0.0,0%,0.0,16.0,TE
James Mitchell (DET),0.0,0.0,0%,0.0,0.0,0.0,0.0%,0.0,0.0,0.0,0%,0.0,14.0,TE
Stone Smartt (LAC),0.0,2.0,0.0%,0.0,0.0,0.0,8.7%,0.0,0.0,0.0,0%,0.0,16.0,TE
Will Mallory (IND),0.0,1.0,0.0%,0.0,0.0,0.0,7.7%,0.0,0.0,0.0,0%,0.0,12.0,TE
Ian Thomas (CAR),0.0,1.0,0.0%,0.0,0.0,0.0,10.0%,0.0,0.0,0.0,0%,0.0,12.0,TE
Peyton Hendershot (DAL),0.0,2.0,0.0%,0.0,0.0,0.0,6.3%,1.0,0.0,0.0,100.0%,0.0,8.0,TE
John Bates (WAS),1.0,3.0,33.3%,0.0,0.0,0.0,18.8%,0.0,0.0,0.0,0%,0.0,17.0,TE
Will Dissly (LAC),0.0,1.0,0.0%,0.0,0.0,0.0,9.1%,0.0,0.0,0.0,0%,0.0,16.0,TE
Sean McKeon (DET),0.0,1.0,0.0%,0.0,0.0,0.0,3.1%,0.0,0.0,0.0,0.0%,0.0,9.0,TE
Luke Farrell (JAC),0.0,1.0,0.0%,0.0,0.0,0.0,7.1%,0.0,0.0,0.0,0%,0.0,17.0,TE
Julian Hill (MIA),0.0,1.0,0.0%,0.0,0.0,0.0,16.7%,0.0,0.0,0.0,0%,0.0,15.0,TE
,,,,,,,,,,,,,,TE
,,,,,,,,,,,,,,TE
