Player,REC,TGT,REC PCT,YDS,Y/R,TD,TGT PCT,ATT,YDS.1,TD.1,PCT,FL,G,POS
Tank Dell (HOU),5.0,8.0,62.5%,44.0,8.8,3.0,17.0%,2.0,6.0,0.0,33.3%,0.0,11.0,WR
Zay Flowers (BAL),11.0,15.0,73.3%,40.0,3.6,3.0,40.5%,2.0,9.0,0.0,66.7%,0.0,16.0,WR
Kendrick Bourne (NE),6.0,6.0,100.0%,45.0,7.5,3.0,33.3%,0.0,0.0,0.0,0.0%,0.0,8.0,WR
Nelson Agholor (BAL),6.0,7.0,85.7%,43.0,7.2,3.0,18.9%,0.0,0.0,0.0,0.0%,0.0,17.0,WR
Michael Wilson (ARI),4.0,7.0,57.1%,43.0,10.8,3.0,28.0%,0.0,0.0,0.0,0.0%,0.0,13.0,WR
Michael Pittman Jr. (IND),14.0,20.0,70.0%,102.0,7.3,2.0,52.6%,0.0,0.0,0.0,0%,0.0,16.0,WR
Tyreek Hill (MIA),13.0,23.0,56.5%,43.0,3.3,3.0,51.1%,1.0,-10.0,0.0,33.3%,0.0,16.0,WR
Isaiah Hodgins (NYG),3.0,5.0,60.0%,31.0,10.3,3.0,22.7%,0.0,0.0,0.0,0.0%,0.0,17.0,WR
DeVonta Smith (PHI),4.0,6.0,66.7%,27.0,6.8,3.0,18.8%,0.0,0.0,0.0,0%,0.0,16.0,WR
Jake Bobo (SEA),2.0,4.0,50.0%,23.0,11.5,2.0,8.2%,1.0,3.0,1.0,100.0%,0.0,17.0,WR
Diontae Johnson (CAR),5.0,10.0,50.0%,23.0,4.6,3.0,45.5%,0.0,0.0,0.0,0.0%,0.0,13.0,WR
Hollywood Brown (KC),5.0,9.0,55.6%,19.0,3.8,3.0,36.0%,0.0,0.0,0.0,0.0%,0.0,14.0,WR
Demarcus Robinson (LAR),4.0,9.0,44.4%,17.0,4.3,3.0,18.0%,0.0,0.0,0.0,0.0%,0.0,13.0,WR
Puka Nacua (LAR),8.0,15.0,53.3%,65.0,8.1,2.0,30.0%,3.0,9.0,0.0,60.0%,0.0,17.0,WR
Justin Watson (KC),3.0,6.0,50.0%,13.0,4.3,3.0,12.8%,0.0,0.0,0.0,0.0%,0.0,16.0,WR
Amari Cooper (CLE),6.0,14.0,42.9%,55.0,9.2,2.0,37.8%,0.0,0.0,0.0,0.0%,0.0,15.0,WR
Garrett Wilson (NYJ),10.0,19.0,52.6%,53.0,5.3,2.0,54.3%,0.0,0.0,0.0,0.0%,0.0,17.0,WR
Chris Godwin (TB),5.0,16.0,31.3%,33.0,6.6,1.0,41.0%,1.0,19.0,1.0,25.0%,0.0,17.0,WR
