Player,G,REC,YDS,Y/R,YBC,YBC/R,AIR,AIR/R,YAC,YAC/R,YACON,YACON/R,BRKTKL,TGT,% TM,CATCHABLE,DROP,RZ TGT,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,LNG,POS
Chris Olave (NO),16.0,87.0,"1,123",12.9,776,8.9,"1,834",21.1,347.0,4.0,59.0,0.7,3.0,138.0,23.8%,93.0,6.0,11.0,45.0,16.0,5.0,3.0,1.0,51.0,WR
Michael Pittman Jr. (IND),16.0,109.0,"1,152",10.6,639,5.9,"1,232",11.3,513.0,4.7,153.0,1.4,3.0,156.0,28.6%,113.0,3.0,19.0,42.0,10.0,6.0,3.0,1.0,75.0,WR
Justin Jefferson (MIN),10.0,68.0,"1,074",15.8,814,12.0,"1,258",18.5,260.0,3.8,92.0,1.4,2.0,100.0,16.5%,72.0,1.0,11.0,42.0,25.0,7.0,2.0,1.0,52.0,WR
Rashee Rice (KC),16.0,79.0,938,11.9,285,3.6,492,6.2,653.0,8.3,134.0,1.7,3.0,102.0,17.0%,87.0,8.0,22.0,36.0,10.0,4.0,1.0,1.0,67.0,WR
Courtland Sutton (DEN),16.0,59.0,772,13.1,616,10.4,"1,060",18.0,156.0,2.6,41.0,0.7,0.0,90.0,18.9%,65.0,6.0,17.0,32.0,14.0,7.0,2.0,0.0,46.0,WR
Zay Flowers (BAL),16.0,77.0,858,11.1,467,6.1,911,11.8,391.0,5.1,55.0,0.7,9.0,108.0,22.7%,82.0,4.0,13.0,31.0,12.0,5.0,4.0,2.0,75.0,WR
Adam Thielen (CAR),17.0,103.0,"1,014",9.8,669,6.5,"1,029",10.0,345.0,3.3,66.0,0.6,2.0,137.0,25.7%,110.0,7.0,14.0,40.0,9.0,3.0,0.0,0.0,32.0,WR
Jaylen Waddle (MIA),14.0,72.0,"1,014",14.1,593,8.2,"1,053",14.6,421.0,5.8,76.0,1.1,7.0,104.0,18.9%,76.0,4.0,8.0,49.0,12.0,6.0,2.0,2.0,60.0,WR
Chris Godwin (TB),17.0,83.0,"1,024",12.3,639,7.7,"1,169",14.1,385.0,4.6,55.0,0.7,2.0,130.0,23.6%,88.0,5.0,16.0,43.0,14.0,6.0,2.0,0.0,47.0,WR
Terry McLaurin (WAS),17.0,79.0,"1,002",12.7,652,8.3,"1,508",19.1,350.0,4.4,103.0,1.3,4.0,132.0,22.0%,84.0,5.0,8.0,41.0,15.0,6.0,2.0,0.0,48.0,WR
Tyler Lockett (SEA),17.0,79.0,894,11.3,674,8.5,"1,312",16.6,220.0,2.8,16.0,0.2,1.0,122.0,22.3%,84.0,5.0,12.0,39.0,9.0,4.0,0.0,0.0,37.0,WR
Brandin Cooks (DAL),16.0,54.0,657,12.2,532,9.9,"1,070",19.8,125.0,2.3,42.0,0.8,0.0,81.0,13.4%,57.0,3.0,12.0,23.0,11.0,5.0,0.0,0.0,37.0,WR
Garrett Wilson (NYJ),17.0,95.0,"1,042",11.0,715,7.5,"1,681",17.7,327.0,3.4,141.0,1.5,10.0,168.0,29.8%,103.0,7.0,17.0,38.0,11.0,7.0,2.0,1.0,68.0,WR
Tank Dell (HOU),11.0,47.0,709,15.1,557,11.9,"1,070",22.8,152.0,3.2,25.0,0.5,0.0,75.0,13.3%,51.0,4.0,8.0,28.0,10.0,3.0,3.0,1.0,68.0,WR
Gabe Davis (JAC),17.0,45.0,746,16.6,566,12.6,"1,231",27.4,180.0,4.0,42.0,0.9,1.0,81.0,14.9%,48.0,3.0,11.0,27.0,12.0,6.0,2.0,1.0,57.0,WR
Romeo Doubs (GB),17.0,59.0,674,11.4,540,9.2,"1,126",19.1,134.0,2.3,33.0,0.6,1.0,96.0,17.1%,64.0,6.0,18.0,31.0,7.0,3.0,0.0,0.0,36.0,WR
Rashid Shaheed (NO),16.0,46.0,719,15.6,568,12.3,"1,094",23.8,151.0,3.3,26.0,0.6,3.0,75.0,13.0%,48.0,2.0,7.0,23.0,12.0,9.0,7.0,3.0,58.0,WR
Cooper Kupp (LAR),12.0,59.0,737,12.5,415,7.0,789,13.4,322.0,5.5,92.0,1.6,5.0,95.0,17.1%,63.0,4.0,18.0,24.0,10.0,7.0,2.0,1.0,62.0,WR
Drake London (ATL),16.0,69.0,905,13.1,721,10.4,"1,273",18.4,184.0,2.7,63.0,0.9,2.0,110.0,21.7%,73.0,4.0,16.0,38.0,17.0,3.0,1.0,0.0,45.0,WR
Diontae Johnson (CAR),13.0,51.0,717,14.1,456,8.9,"1,115",21.9,261.0,5.1,67.0,1.3,4.0,87.0,18.0%,54.0,2.0,10.0,27.0,10.0,5.0,2.0,1.0,71.0,WR
Darius Slayton (NYG),17.0,50.0,770,15.4,472,9.4,960,19.2,298.0,6.0,70.0,1.4,5.0,79.0,16.3%,53.0,3.0,4.0,26.0,11.0,6.0,3.0,2.0,80.0,WR
Tee Higgins (CIN),12.0,42.0,656,15.6,421,10.0,973,23.2,235.0,5.6,24.0,0.6,0.0,76.0,12.8%,49.0,7.0,9.0,30.0,8.0,3.0,2.0,1.0,80.0,WR
Curtis Samuel (BUF),16.0,62.0,613,9.9,353,5.7,599,9.7,260.0,4.2,59.0,1.0,4.0,91.0,15.1%,64.0,2.0,15.0,21.0,7.0,4.0,0.0,0.0,37.0,WR
Christian Kirk (JAC),12.0,57.0,787,13.8,540,9.5,842,14.8,247.0,4.3,29.0,0.5,3.0,85.0,14.0%,61.0,4.0,5.0,29.0,13.0,6.0,3.0,1.0,57.0,WR
Josh Downs (IND),17.0,68.0,771,11.3,400,5.9,703,10.3,371.0,5.5,62.0,0.9,2.0,98.0,17.9%,73.0,5.0,9.0,28.0,10.0,5.0,2.0,2.0,59.0,WR
Josh Reynolds (DEN),17.0,40.0,608,15.2,435,10.9,645,16.1,173.0,4.3,51.0,1.3,2.0,64.0,11.1%,44.0,4.0,10.0,26.0,17.0,1.0,0.0,0.0,33.0,WR
Jerry Jeudy (CLE),16.0,54.0,758,14.0,435,8.1,"1,109",20.5,323.0,6.0,78.0,1.4,4.0,87.0,18.2%,56.0,2.0,10.0,29.0,10.0,6.0,5.0,0.0,47.0,WR
Jaxon Smith-Njigba (SEA),17.0,63.0,628,10.0,262,4.2,569,9.0,366.0,5.8,55.0,0.9,3.0,93.0,17.0%,72.0,10.0,10.0,27.0,7.0,3.0,0.0,0.0,35.0,WR
Hollywood Brown (KC),14.0,51.0,574,11.3,410,8.0,"1,199",23.5,164.0,3.2,28.0,0.5,2.0,101.0,18.7%,55.0,4.0,9.0,26.0,8.0,2.0,1.0,0.0,41.0,WR
Dontayvion Wicks (GB),15.0,39.0,581,14.9,369,9.5,586,15.0,211.0,5.4,101.0,2.6,5.0,58.0,10.3%,42.0,3.0,8.0,26.0,11.0,3.0,0.0,0.0,35.0,WR
DJ Chark Jr. (LAC),15.0,35.0,525,15.0,441,12.6,"1,016",29.0,84.0,2.4,27.0,0.8,1.0,66.0,12.4%,38.0,4.0,6.0,23.0,9.0,3.0,2.0,0.0,47.0,WR
Tyler Boyd (TEN),17.0,67.0,667,10.0,388,5.8,637,9.5,279.0,4.2,108.0,1.6,2.0,98.0,16.6%,72.0,5.0,7.0,23.0,6.0,3.0,2.0,1.0,64.0,WR
Michael Wilson (ARI),13.0,38.0,565,14.9,426,11.2,716,18.8,139.0,3.7,37.0,1.0,3.0,58.0,10.7%,38.0,0.0,7.0,26.0,7.0,2.0,1.0,1.0,69.0,WR
Jahan Dotson (WAS),17.0,49.0,518,10.6,403,8.2,774,15.8,115.0,2.3,24.0,0.5,0.0,83.0,13.8%,53.0,5.0,11.0,24.0,5.0,1.0,0.0,0.0,33.0,WR
Khalil Shakir (BUF),17.0,39.0,611,15.7,329,8.4,402,10.3,282.0,7.2,51.0,1.3,0.0,45.0,8.3%,39.0,0.0,2.0,25.0,10.0,4.0,2.0,1.0,81.0,WR
Tutu Atwell (LAR),16.0,39.0,483,12.4,379,9.7,767,19.7,104.0,2.7,12.0,0.3,0.0,67.0,12.1%,43.0,4.0,5.0,20.0,8.0,5.0,2.0,0.0,44.0,WR
Christian Watson (GB),9.0,28.0,422,15.1,317,11.3,825,29.5,105.0,3.8,19.0,0.7,0.0,53.0,9.4%,31.0,3.0,13.0,14.0,5.0,3.0,2.0,2.0,77.0,WR
Wan'Dale Robinson (NYG),15.0,60.0,525,8.8,238,4.0,410,6.8,287.0,4.8,80.0,1.3,5.0,78.0,16.1%,63.0,3.0,2.0,20.0,7.0,2.0,0.0,0.0,33.0,WR
Elijah Moore (CLE),17.0,59.0,640,10.8,449,7.6,"1,143",19.4,191.0,3.2,38.0,0.6,4.0,104.0,17.4%,64.0,5.0,13.0,27.0,9.0,3.0,1.0,0.0,42.0,WR
Odell Beckham Jr. (MIA),14.0,35.0,565,16.1,410,11.7,888,25.4,155.0,4.4,35.0,1.0,1.0,64.0,13.4%,38.0,3.0,11.0,22.0,10.0,5.0,3.0,1.0,51.0,WR
K.J. Osborn (NE),16.0,48.0,540,10.7,343,7.1,659,13.7,171.0,3.6,21.0,0.4,1.0,75.0,12.4%,53.0,5.0,10.0,23.0,6.0,3.0,1.0,0.0,47.0,WR
Joshua Palmer (LAC),11.0,38.0,581,15.3,385,10.1,693,18.2,196.0,5.2,22.0,0.6,1.0,61.0,9.9%,42.0,3.0,9.0,16.0,9.0,4.0,3.0,3.0,79.0,WR
Noah Brown (HOU),10.0,33.0,567,17.2,344,10.4,658,19.9,223.0,6.8,59.0,1.8,1.0,55.0,9.7%,36.0,3.0,7.0,19.0,14.0,6.0,1.0,1.0,75.0,WR
Rondale Moore (ATL),17.0,40.0,352,8.8,136,3.4,322,8.1,216.0,5.4,30.0,0.8,2.0,62.0,11.5%,43.0,3.0,5.0,13.0,4.0,2.0,1.0,0.0,48.0,WR
Alec Pierce (IND),17.0,32.0,514,16.1,417,13.0,969,30.3,97.0,3.0,25.0,0.8,1.0,65.0,11.9%,35.0,3.0,6.0,19.0,8.0,5.0,2.0,2.0,58.0,WR
Kendrick Bourne (NE),8.0,37.0,406,11.0,203,5.5,574,15.5,203.0,5.5,67.0,1.8,2.0,55.0,10.2%,38.0,1.0,6.0,14.0,5.0,2.0,0.0,0.0,36.0,WR
Kalif Raymond (DET),17.0,35.0,489,14.0,275,7.9,388,11.1,214.0,6.1,26.0,0.7,1.0,44.0,7.7%,37.0,2.0,4.0,23.0,9.0,3.0,2.0,0.0,41.0,WR
Nelson Agholor (BAL),17.0,35.0,381,10.9,240,6.9,418,11.9,141.0,4.0,37.0,1.1,2.0,45.0,9.5%,37.0,2.0,7.0,18.0,4.0,2.0,0.0,0.0,37.0,WR
Justin Watson (KC),16.0,27.0,460,17.0,413,15.3,928,34.4,47.0,1.7,5.0,0.2,0.0,53.0,8.8%,30.0,4.0,6.0,19.0,8.0,5.0,1.0,0.0,41.0,WR
Demarcus Robinson (LAR),13.0,26.0,371,14.3,282,10.8,478,18.4,89.0,3.4,18.0,0.7,0.0,39.0,7.0%,26.0,0.0,9.0,15.0,7.0,3.0,0.0,0.0,37.0,WR
DeMario Douglas (NE),14.0,49.0,561,11.4,225,4.6,648,13.2,336.0,6.9,46.0,0.9,1.0,79.0,14.6%,50.0,1.0,4.0,26.0,6.0,3.0,2.0,0.0,42.0,WR
Nick Westbrook-Ikhine (TEN),14.0,28.0,370,13.2,263,9.4,552,19.7,107.0,3.8,20.0,0.7,1.0,45.0,9.4%,32.0,4.0,6.0,13.0,8.0,2.0,0.0,0.0,33.0,WR
Trey Palmer (TB),17.0,39.0,385,9.9,282,7.2,741,19.0,103.0,2.6,23.0,0.6,0.0,68.0,12.4%,43.0,4.0,3.0,14.0,6.0,1.0,1.0,1.0,54.0,WR
Jameson Williams (DET),12.0,24.0,354,14.8,250,10.4,670,27.9,104.0,4.3,53.0,2.2,5.0,42.0,7.3%,28.0,4.0,2.0,14.0,5.0,4.0,2.0,1.0,63.0,WR
Quentin Johnston (LAC),17.0,38.0,431,11.3,279,7.3,861,22.7,152.0,4.0,31.0,0.8,2.0,67.0,10.9%,41.0,3.0,8.0,17.0,5.0,1.0,1.0,1.0,57.0,WR
Brandon Johnson (DEN),13.0,19.0,284,14.9,195,10.3,328,17.3,89.0,4.7,18.0,0.9,2.0,30.0,6.3%,20.0,1.0,6.0,11.0,6.0,2.0,1.0,1.0,50.0,WR
Michael Gallup (FA),17.0,34.0,418,12.3,314,9.2,624,18.4,104.0,3.1,39.0,1.1,3.0,57.0,9.4%,39.0,5.0,4.0,15.0,6.0,2.0,1.0,0.0,41.0,WR
Tre Tucker (LV),16.0,19.0,331,17.4,303,15.9,630,33.2,28.0,1.5,5.0,0.3,0.0,34.0,6.4%,19.0,1.0,3.0,12.0,6.0,4.0,3.0,1.0,50.0,WR
Michael Thomas (FA),10.0,39.0,448,11.5,348,8.9,650,16.7,100.0,2.6,30.0,0.8,2.0,64.0,11.1%,42.0,3.0,9.0,18.0,4.0,1.0,0.0,0.0,31.0,WR
Robert Woods (HOU),14.0,40.0,426,10.7,300,7.5,732,18.3,126.0,3.2,26.0,0.7,1.0,75.0,13.3%,44.0,4.0,10.0,20.0,2.0,0.0,0.0,0.0,26.0,WR
Marvin Mims Jr. (DEN),16.0,22.0,377,17.1,223,10.1,497,22.6,154.0,7.0,22.0,1.0,1.0,33.0,6.9%,23.0,1.0,1.0,8.0,6.0,6.0,4.0,2.0,60.0,WR
A.T. Perry (NO),10.0,12.0,246,20.5,226,18.8,293,24.4,20.0,1.7,6.0,0.5,0.0,18.0,3.1%,13.0,1.0,4.0,9.0,5.0,3.0,1.0,0.0,44.0,WR
Darnell Mooney (ATL),15.0,31.0,414,13.4,233,7.5,630,20.3,181.0,5.8,22.0,0.7,1.0,61.0,12.8%,33.0,3.0,7.0,17.0,7.0,3.0,1.0,0.0,41.0,WR
KaVontae Turpin (DAL),16.0,12.0,127,10.6,88,7.3,163,13.6,39.0,3.3,4.0,0.3,1.0,18.0,3.0%,15.0,3.0,6.0,5.0,2.0,1.0,0.0,0.0,34.0,WR
Cedrick Wilson Jr. (NO),15.0,22.0,296,13.5,239,10.9,429,19.5,57.0,2.6,21.0,1.0,0.0,38.0,6.9%,23.0,1.0,5.0,13.0,5.0,1.0,0.0,0.0,31.0,WR
Chris Moore (ARI),17.0,22.0,424,19.3,367,16.7,641,29.1,57.0,2.6,19.0,0.9,1.0,35.0,7.3%,25.0,2.0,1.0,15.0,9.0,5.0,3.0,0.0,49.0,WR
Rashod Bateman (BAL),16.0,32.0,367,11.5,310,9.7,813,25.4,57.0,1.8,18.0,0.6,1.0,56.0,11.8%,36.0,4.0,3.0,17.0,2.0,0.0,0.0,0.0,29.0,WR
Zay Jones (ARI),9.0,34.0,321,9.4,270,7.9,871,25.6,51.0,1.5,7.0,0.2,0.0,64.0,10.5%,36.0,1.0,10.0,12.0,3.0,1.0,0.0,0.0,36.0,WR
Jonathan Mingo (CAR),15.0,43.0,418,9.7,263,6.1,921,21.4,155.0,3.6,53.0,1.2,1.0,85.0,15.9%,47.0,4.0,3.0,16.0,6.0,2.0,1.0,0.0,40.0,WR
Greg Dortch (ARI),16.0,24.0,280,11.7,128,5.3,390,16.3,152.0,6.3,64.0,2.7,1.0,41.0,7.6%,24.0,0.0,3.0,11.0,3.0,3.0,0.0,0.0,38.0,WR
DeVante Parker (FA),13.0,33.0,394,11.9,268,8.1,640,19.4,126.0,3.8,28.0,0.8,2.0,55.0,10.2%,36.0,3.0,0.0,18.0,6.0,1.0,0.0,0.0,30.0,WR
Isaiah Hodgins (NYG),17.0,21.0,230,11.0,155,7.4,263,12.5,75.0,3.6,19.0,0.9,1.0,33.0,6.8%,21.0,0.0,5.0,12.0,1.0,0.0,0.0,0.0,24.0,WR
Brandon Powell (MIN),17.0,29.0,324,11.2,220,7.6,332,11.4,104.0,3.6,34.0,1.2,1.0,44.0,7.3%,30.0,1.0,6.0,13.0,6.0,0.0,0.0,0.0,28.0,WR
Jake Bobo (SEA),17.0,19.0,196,10.3,109,5.7,140,7.4,87.0,4.6,32.0,1.7,1.0,25.0,4.6%,19.0,0.0,4.0,6.0,3.0,1.0,0.0,0.0,31.0,WR
Xavier Gipson (NYJ),17.0,21.0,229,10.9,120,5.7,358,17.0,109.0,5.2,21.0,1.0,3.0,38.0,6.7%,22.0,1.0,5.0,8.0,4.0,1.0,0.0,0.0,36.0,WR
Trenton Irwin (CIN),16.0,25.0,316,12.6,206,8.2,337,13.5,110.0,4.4,21.0,0.8,0.0,32.0,5.4%,25.0,1.0,6.0,13.0,7.0,1.0,0.0,0.0,32.0,WR
Jalin Hyatt (NYG),17.0,23.0,373,16.2,325,14.1,841,36.6,48.0,2.1,7.0,0.3,1.0,40.0,8.2%,26.0,3.0,0.0,11.0,7.0,5.0,3.0,1.0,58.0,WR
Allen Lazard (NYJ),14.0,23.0,311,13.5,255,11.1,597,26.0,56.0,2.4,19.0,0.8,1.0,49.0,8.7%,27.0,4.0,2.0,16.0,5.0,1.0,0.0,0.0,39.0,WR
Jalen Tolbert (DAL),17.0,22.0,268,12.2,234,10.6,474,21.5,34.0,1.5,11.0,0.5,1.0,36.0,6.0%,23.0,1.0,4.0,9.0,3.0,3.0,1.0,0.0,45.0,WR
Calvin Austin III (PIT),17.0,17.0,180,10.6,107,6.3,378,22.2,73.0,4.3,5.0,0.3,0.0,30.0,6.2%,18.0,1.0,0.0,6.0,1.0,1.0,1.0,1.0,72.0,WR
Andrei Iosivas (CIN),16.0,15.0,116,7.7,81,5.4,215,14.3,35.0,2.3,6.0,0.4,0.0,25.0,4.2%,17.0,2.0,5.0,4.0,0.0,0.0,0.0,0.0,16.0,WR
Marquez Valdes-Scantling (BUF),16.0,21.0,315,15.0,223,10.6,742,35.3,92.0,4.4,5.0,0.2,1.0,42.0,7.0%,24.0,3.0,3.0,13.0,5.0,3.0,1.0,0.0,46.0,WR
David Bell (CLE),15.0,14.0,167,11.9,96,6.9,144,10.3,71.0,5.1,13.0,0.9,1.0,23.0,3.9%,15.0,1.0,2.0,5.0,3.0,2.0,1.0,0.0,41.0,WR
Lil'Jordan Humphrey (DEN),17.0,13.0,162,12.5,63,4.8,186,14.3,99.0,7.6,47.0,3.6,0.0,19.0,4.0%,14.0,1.0,4.0,7.0,1.0,1.0,1.0,1.0,54.0,WR
Skyy Moore (KC),14.0,21.0,244,11.6,135,6.4,339,16.1,109.0,5.2,25.0,1.2,0.0,38.0,6.3%,22.0,1.0,7.0,10.0,3.0,1.0,1.0,1.0,54.0,WR
Jauan Jennings (SF),13.0,19.0,265,13.9,176,9.3,340,17.9,89.0,4.7,36.0,1.9,2.0,33.0,7.0%,21.0,0.0,2.0,10.0,4.0,1.0,0.0,0.0,31.0,WR
JuJu Smith-Schuster (NE),11.0,29.0,260,9.0,166,5.7,331,11.4,94.0,3.2,14.0,0.5,0.0,47.0,8.7%,32.0,2.0,2.0,10.0,3.0,1.0,0.0,0.0,37.0,WR
Mike Williams (NYJ),3.0,19.0,249,13.1,141,7.4,307,16.2,108.0,5.7,31.0,1.6,1.0,26.0,4.2%,21.0,0.0,2.0,10.0,4.0,2.0,1.0,0.0,49.0,WR
Braxton Berrios (MIA),16.0,27.0,238,8.8,153,5.7,234,8.7,85.0,3.1,10.0,0.4,1.0,33.0,6.0%,28.0,1.0,1.0,13.0,1.0,0.0,0.0,0.0,22.0,WR
Bo Melton (GB),4.0,16.0,218,13.6,181,11.3,267,16.7,37.0,2.3,16.0,1.0,0.0,24.0,4.3%,17.0,1.0,3.0,10.0,3.0,1.0,0.0,0.0,37.0,WR
Alex Erickson (FA),8.0,16.0,232,14.5,174,10.9,305,19.1,58.0,3.6,6.0,0.4,0.0,29.0,4.7%,17.0,1.0,2.0,11.0,4.0,0.0,0.0,0.0,27.0,WR
Olamide Zaccheaus (WAS),17.0,10.0,164,16.4,112,11.2,207,20.7,52.0,5.2,12.0,1.2,0.0,20.0,3.8%,10.0,0.0,3.0,6.0,4.0,1.0,0.0,0.0,34.0,WR
Scotty Miller (PIT),17.0,11.0,161,14.6,81,7.4,195,17.7,80.0,7.3,8.0,0.7,0.0,16.0,3.1%,11.0,0.0,3.0,4.0,2.0,2.0,2.0,1.0,56.0,WR
Allen Robinson II (NYG),17.0,34.0,280,8.2,212,6.2,370,10.9,68.0,2.0,18.0,0.5,0.0,49.0,10.1%,35.0,0.0,4.0,11.0,2.0,1.0,0.0,0.0,31.0,WR
Jamal Agnew (FA),11.0,14.0,225,16.1,149,10.6,253,18.1,76.0,5.4,8.0,0.6,0.0,21.0,3.5%,14.0,0.0,2.0,8.0,2.0,2.0,2.0,1.0,65.0,WR
Kadarius Toney (KC),13.0,27.0,169,6.3,41,1.5,112,4.1,128.0,4.7,33.0,1.2,5.0,38.0,6.3%,32.0,5.0,5.0,6.0,0.0,0.0,0.0,0.0,18.0,WR
Julio Jones (FA),11.0,11.0,74,6.7,46,4.2,141,12.8,28.0,2.5,7.0,0.6,0.0,19.0,3.6%,12.0,1.0,4.0,2.0,1.0,0.0,0.0,0.0,22.0,WR
Mack Hollins (BUF),13.0,18.0,251,13.9,196,10.9,370,20.6,55.0,3.1,10.0,0.6,0.0,30.0,5.9%,20.0,2.0,2.0,10.0,3.0,1.0,1.0,0.0,45.0,WR
Deonte Harty (BAL),16.0,15.0,150,10.0,71,4.7,227,15.1,79.0,5.3,19.0,1.3,0.0,21.0,3.9%,16.0,1.0,2.0,5.0,2.0,1.0,1.0,0.0,43.0,WR
Ronnie Bell (SF),16.0,6.0,68,11.3,58,9.7,160,26.7,10.0,1.7,0.0,0.0,0.0,13.0,2.8%,6.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,20.0,WR
Ihmir Smith-Marsette (CAR),17.0,8.0,51,6.4,3,0.4,9,1.1,48.0,6.0,14.0,1.8,1.0,10.0,1.9%,9.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,18.0,WR
Treylon Burks (TEN),11.0,16.0,221,13.8,150,9.4,547,34.2,71.0,4.4,16.0,1.0,1.0,30.0,6.3%,19.0,3.0,1.0,7.0,4.0,2.0,1.0,1.0,70.0,WR
Hunter Renfrow (FA),17.0,25.0,255,10.2,103,4.1,207,8.3,152.0,6.1,37.0,1.5,2.0,37.0,7.0%,26.0,1.0,3.0,9.0,3.0,2.0,0.0,0.0,38.0,WR
