Player,G,REC,YDS,Y/R,YBC,YBC/R,AIR,AIR/R,YAC,YAC/R,YACON,YACON/R,BRKTKL,TGT,% TM,CATCHABLE,DROP,RZ TGT,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,LNG,POS
CeeDee Lamb (DAL),17.0,135.0,"1,749",13.0,"1,073",7.9,"1,726",12.8,676.0,5.0,207.0,1.5,11.0,181.0,29.9%,143.0,6.0,31.0,73.0,29.0,8.0,3.0,1.0,92.0,WR
Tyreek Hill (MIA),16.0,119.0,"1,799",15.1,"1,146",9.6,"1,847",15.5,653.0,5.5,85.0,0.7,12.0,171.0,31.1%,131.0,12.0,24.0,64.0,29.0,14.0,9.0,5.0,78.0,WR
Amon-Ra St. Brown (DET),16.0,119.0,"1,515",12.7,847,7.1,"1,297",10.9,668.0,5.6,159.0,1.3,10.0,164.0,28.6%,127.0,8.0,23.0,60.0,24.0,6.0,3.0,1.0,70.0,WR
Mike Evans (TB),17.0,79.0,"1,255",15.9,933,11.8,"1,899",24.0,322.0,4.1,76.0,1.0,2.0,136.0,24.7%,86.0,7.0,14.0,46.0,20.0,10.0,6.0,3.0,75.0,WR
Puka Nacua (LAR),17.0,105.0,"1,486",14.2,854,8.1,"1,453",13.8,632.0,6.0,233.0,2.2,7.0,160.0,28.8%,117.0,13.0,16.0,59.0,25.0,10.0,3.0,2.0,80.0,WR
DJ Moore (CHI),17.0,96.0,"1,364",14.2,825,8.6,"1,479",15.4,539.0,5.6,166.0,1.7,9.0,136.0,28.5%,100.0,4.0,11.0,53.0,25.0,12.0,2.0,2.0,58.0,WR
Deebo Samuel Sr. (SF),15.0,60.0,892,14.9,365,6.1,588,9.8,527.0,8.8,173.0,2.9,12.0,89.0,18.9%,63.0,2.0,17.0,32.0,15.0,8.0,6.0,1.0,54.0,WR
A.J. Brown (PHI),17.0,106.0,"1,456",13.7,983,9.3,"1,852",17.5,473.0,4.5,215.0,2.0,9.0,158.0,30.1%,111.0,7.0,15.0,62.0,21.0,9.0,3.0,1.0,59.0,WR
Nico Collins (HOU),15.0,80.0,"1,297",16.2,750,9.4,"1,189",14.9,547.0,6.8,255.0,3.2,16.0,109.0,19.3%,82.0,2.0,15.0,48.0,25.0,7.0,5.0,4.0,75.0,WR
Brandon Aiyuk (SF),16.0,75.0,"1,342",17.9,960,12.8,"1,448",19.3,382.0,5.1,94.0,1.3,2.0,105.0,22.3%,77.0,2.0,9.0,58.0,28.0,10.0,3.0,1.0,76.0,WR
Keenan Allen (CHI),13.0,108.0,"1,243",11.5,847,7.8,"1,446",13.4,396.0,3.7,83.0,0.8,5.0,150.0,24.4%,114.0,5.0,12.0,47.0,19.0,4.0,1.0,0.0,42.0,WR
Stefon Diggs (HOU),17.0,107.0,"1,183",11.1,784,7.3,"1,653",15.4,399.0,3.7,163.0,1.5,10.0,160.0,29.4%,115.0,8.0,15.0,50.0,10.0,6.0,2.0,1.0,55.0,WR
Ja'Marr Chase (CIN),16.0,100.0,"1,216",12.2,675,6.8,"1,220",12.2,541.0,5.4,123.0,1.2,6.0,145.0,24.5%,105.0,5.0,19.0,48.0,14.0,7.0,4.0,3.0,76.0,WR
Davante Adams (LV),17.0,103.0,"1,144",11.1,808,7.8,"1,900",18.4,336.0,3.3,74.0,0.7,2.0,175.0,33.0%,111.0,8.0,29.0,47.0,13.0,4.0,2.0,0.0,46.0,WR
DK Metcalf (SEA),16.0,66.0,"1,114",16.9,747,11.3,"1,525",23.1,367.0,5.6,116.0,1.8,6.0,119.0,21.8%,74.0,7.0,23.0,43.0,19.0,11.0,4.0,3.0,73.0,WR
Amari Cooper (CLE),15.0,72.0,"1,250",17.4,979,13.6,"1,811",25.2,271.0,3.8,68.0,0.9,2.0,128.0,21.4%,79.0,7.0,13.0,47.0,21.0,8.0,8.0,5.0,75.0,WR
Calvin Ridley (TEN),17.0,76.0,"1,016",13.4,822,10.8,"1,797",23.6,194.0,2.6,39.0,0.5,1.0,136.0,22.4%,82.0,6.0,26.0,43.0,17.0,5.0,2.0,1.0,59.0,WR
Jayden Reed (GB),16.0,64.0,793,12.4,458,7.2,970,15.2,335.0,5.2,73.0,1.1,3.0,94.0,16.8%,67.0,3.0,14.0,29.0,13.0,10.0,3.0,1.0,59.0,WR
Jordan Addison (MIN),17.0,70.0,911,13.0,649,9.3,"1,347",19.2,262.0,3.7,76.0,1.1,4.0,108.0,17.8%,73.0,3.0,15.0,36.0,15.0,6.0,3.0,2.0,62.0,WR
DeAndre Hopkins (TEN),17.0,75.0,"1,057",14.1,834,11.1,"1,928",25.7,223.0,3.0,61.0,0.8,4.0,137.0,28.7%,80.0,4.0,17.0,41.0,15.0,7.0,4.0,1.0,61.0,WR
Jakobi Meyers (LV),16.0,71.0,807,11.4,565,8.0,"1,028",14.5,242.0,3.4,55.0,0.8,6.0,106.0,20.0%,73.0,2.0,15.0,38.0,8.0,2.0,0.0,0.0,33.0,WR
DeVonta Smith (PHI),16.0,81.0,"1,066",13.2,772,9.5,"1,350",16.7,294.0,3.6,55.0,0.7,4.0,112.0,21.3%,87.0,5.0,6.0,43.0,14.0,8.0,3.0,2.0,63.0,WR
George Pickens (PIT),17.0,63.0,"1,140",18.1,747,11.9,"1,423",22.6,393.0,6.2,108.0,1.7,5.0,106.0,21.9%,65.0,2.0,8.0,42.0,22.0,11.0,6.0,3.0,86.0,WR
